"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N2 =: Nhum";"N2 =: N-hum";"<ENT>Prép3";"<ENT>Det3";"<ENT>C3";"N3 =: Nhum";"N3 =: N-hum";"Prép3 N3 = Ppv";"[passif]";"Exemple"
"1";"+";"-";"-";"-";"-";"<E>";" abaisser";"<E>";"une";"-";"-";" perpendiculaire";"de";"<E>";"A";"-";"-";"sur";"<E>";"D";"-";"-";"-";"+";"§abaisser§une perpendiculaire de A sur D "
"2";"+";"-";"-";"-";"-";"<E>";" abaisser";"<E>";"une";"-";"-";" perpendiculaire";"de";"<E>";"A";"-";"-";"sur";"<E>";"P";"-";"-";"-";"+";"§abaisser§une perpendiculaire de A sur P "
"3";"+";"-";"-";"-";"-";"<E>";" abaisser";"<E>";"une";"-";"-";" perpendiculaire";"de";"le";"point A";"-";"-";"sur";"la";"droite D";"-";"-";"-";"+";"§abaisser§une perpendiculaire du point A sur la droite D "
"4";"+";"-";"-";"-";"-";"<E>";" abaisser";"<E>";"une";"-";"-";" perpendiculaire";"de";"le";"point A";"-";"-";"sur";"le";"plan P";"-";"-";"-";"+";"§abaisser§une perpendiculaire du point A sur le plan P "
"5";"+";"-";"-";"-";"-";"<E>";" accorder";"<E>";"<E>";"-";"-";" Nmot";"en";"<E>";"genre";"-";"-";"avec";"<E>";"mot";"-";"-";"-";"+";"§accorder§Nmot en genre avec mot "
"6";"+";"-";"-";"-";"-";"<E>";" accorder";"<E>";"<E>";"-";"-";" Nmot";"en";"<E>";"nombre";"-";"-";"avec";"<E>";"mot";"-";"-";"-";"+";"§accorder§Nmot en nombre avec mot "
"7";"+";"-";"-";"-";"-";"<E>";" accorder";"<E>";"un";"-";"-";" rabais";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§accorder§un rabais sur à "
"8";"+";"-";"-";"-";"-";"<E>";" accorder";"<E>";"une";"-";"-";" réduction";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§accorder§une réduction sur à "
"9";"+";"-";"-";"-";"-";"<E>";" accorder";"<E>";"une";"-";"-";" remise";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§accorder§une remise sur à "
"10";"+";"-";"-";"-";"-";"<E>";" accuser";"<E>";"<E>";"-";"-";" réception";"de";"<E>";"<E>";"+";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§accuser§réception d'à "
