"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Qu P";"N1 =: V0-inf W";"N1 =: V2-inf W";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: V0-inf W";"N3 =: V1-inf W";"Exemple"
"1";"+";"-";"-";"+";"-";"-";"s'";" accorder";"avec";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"dire";"<E>";"-";"+";"+";"-";"-";"-";"§s'accorder§avec à dire "
"2";"+";"-";"-";"+";"-";"-";"s'";" accorder";"avec";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"penser";"<E>";"-";"+";"+";"-";"-";"-";"§s'accorder§avec à penser "
"3";"+";"-";"-";"+";"-";"-";"s'";" accorder";"avec";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"reconnaître";"<E>";"-";"+";"+";"-";"-";"-";"§s'accorder§avec à reconnaître "
"4";"+";"-";"-";"-";"-";"-";"<E>";" affirmer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"Poss0";"volonté";"de";"-";"-";"-";"-";"+";"-";"§affirmer§à sa volonté de "
"5";"+";"-";"-";"-";"-";"-";"<E>";" aimer";"<E>";"<E>";"<E>";"-";"+";"+";"+";"-";"<E>";"<E>";"mieux";"que";"-";"+";"-";"+";"+";"-";"§aimer§mieux que "
"6";"+";"+";"+";"-";"-";"-";"<E>";" amener";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"affirmer";"<E>";"-";"+";"+";"-";"-";"-";"§amener§à affirmer "
"7";"+";"+";"+";"-";"-";"-";"<E>";" amener";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"croire";"<E>";"-";"+";"+";"-";"-";"-";"§amener§à croire "
"8";"+";"+";"+";"-";"-";"-";"<E>";" amener";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"dire";"<E>";"-";"+";"+";"-";"-";"-";"§amener§à dire "
"9";"+";"+";"+";"-";"-";"-";"<E>";" amener";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"penser";"<E>";"-";"+";"+";"-";"-";"-";"§amener§à penser "
"10";"+";"+";"+";"-";"-";"-";"<E>";" apporter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"la";"<E>";"preuve";"de";"-";"+";"-";"+";"+";"-";"§apporter§à la preuve de "
