"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N0 V Prép1 Det1 C1";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N2 =: Nhum";"N2 =: N-hum";"Prép2 N2-hum = Ppv";"Exemple"
"1";"+";"-";"-";"-";"-";"-";"<E>";" aboutir";"à";"la";"conclusion";"de";"+";"+";"-";"+";"-";"-";"-";"-";"§aboutir§à la conclusion de "
"2";"+";"-";"-";"-";"-";"-";"<E>";" affronter";"<E>";"la";"difficulté";"de";"+";"+";"-";"+";"+";"-";"-";"-";"§affronter§la difficulté de "
"3";"+";"-";"-";"-";"-";"-";"<E>";" affronter";"<E>";"le";"problème";"de";"+";"+";"-";"+";"+";"-";"-";"-";"§affronter§le problème de "
"4";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"chercher";"<E>";"-";"+";"-";"-";"+";"+";"+";"-";"§aller§chercher "
"5";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"croire";"<E>";"-";"+";"-";"-";"-";"+";"+";"+";"§aller§croire "
"6";"+";"-";"-";"-";"+";"-";"y";" aller";"<E>";"<E>";"fort";"de";"+";"-";"-";"-";"+";"-";"-";"-";"§y aller§fort de "
"7";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"imaginer";"<E>";"-";"+";"-";"-";"+";"+";"+";"-";"§aller§imaginer "
"8";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"imaginer";"<E>";"-";"+";"-";"-";"-";"+";"+";"+";"§aller§imaginer "
"9";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"imaginer";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§aller§imaginer "
"10";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"se";"imaginer";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§aller§se imaginer "
"11";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"inventer";"<E>";"-";"+";"-";"-";"+";"+";"+";"-";"§aller§inventer "
"12";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"inventer";"<E>";"-";"+";"-";"-";"-";"+";"+";"+";"§aller§inventer "
"13";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"pêcher";"<E>";"-";"+";"-";"-";"+";"+";"+";"-";"§aller§pêcher "
"14";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"s'imaginer";"<E>";"-";"+";"-";"-";"+";"+";"+";"-";"§aller§s'imaginer "
"15";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"voir";"<E>";"+";"+";"-";"-";"-";"-";"-";"-";"§aller§voir "
"16";"+";"-";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"voir";"<E>";"+";"+";"-";"-";"-";"-";"-";"-";"§aller§voir "
"17";"+";"-";"+";"-";"-";"-";"s'";" armer";"de";"<E>";"courage";"pour";"+";"-";"-";"-";"+";"-";"+";"-";"§s'armer§de courage pour "
"18";"+";"-";"+";"-";"-";"-";"s'";" armer";"de";"<E>";"patience";"pour";"+";"-";"-";"-";"+";"-";"+";"-";"§s'armer§de patience pour "
"19";"+";"-";"+";"-";"-";"-";"s'";" arrêter";"à";"la";"conclusion";"de";"+";"+";"-";"+";"+";"-";"-";"-";"§s'arrêter§à la conclusion de "
"20";"+";"-";"-";"-";"-";"-";"<E>";" arriver";"à";"la";"conclusion";"de";"+";"+";"-";"+";"+";"-";"-";"-";"§arriver§à la conclusion de "
"21";"+";"-";"-";"+";"-";"-";"en";" arriver";"à";"la";"conclusion";"de";"+";"+";"-";"+";"+";"-";"-";"-";"§en arriver§à la conclusion de "
"22";"+";"+";"-";"-";"-";"-";"<E>";" arriver";"à";"le";"point";"<E>";"-";"+";"-";"-";"-";"-";"+";"-";"§arriver§au point "
"23";"-";"+";"-";"-";"-";"-";"<E>";" arriver";"en";"<E>";"réponse";"à";"-";"+";"-";"-";"-";"-";"+";"-";"§arriver§en réponse à "
"24";"+";"-";"-";"-";"-";"-";"<E>";" arriver";"à";"<E>";"temps";"pour";"+";"-";"+";"-";"+";"-";"+";"-";"§arriver§à temps pour "
"25";"+";"-";"-";"-";"-";"+";"n'";" aurait pas";"<E>";"<E>";"pensé";"<E>";"-";"+";"-";"-";"+";"-";"-";"+";"§n'aurait pas§pensé "
"26";"+";"-";"+";"-";"-";"-";"s'";" autoriser";"de";"le";"exemple de Nhum";"pour";"-";"-";"+";"-";"+";"-";"-";"-";"§s'autoriser§de l'exemple de Nhum pour "
"27";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"âge";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§a§l'âge de "
"28";"+";"+";"-";"+";"-";"-";"en";" avoir";"pour";"six";"ans";"à";"+";"-";"+";"-";"+";"-";"-";"-";"§en a§pour six ans à "
"29";"+";"-";"-";"+";"-";"-";"en";" avoir";"pour";"six";"ans";"avant de";"+";"-";"+";"-";"+";"-";"-";"-";"§en a§pour six ans avant de "
"30";"+";"+";"-";"+";"-";"-";"en";" avoir";"pour";"cent sept";"ans";"à";"+";"-";"+";"-";"+";"-";"-";"-";"§en a§pour cent sept ans à "
"31";"+";"-";"-";"+";"-";"-";"en";" avoir";"pour";"cent sept";"ans";"avant de";"+";"-";"+";"-";"+";"-";"-";"-";"§en a§pour cent sept ans avant de "
"32";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"un";"art consommé";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§a§un art consommé de "
"33";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"autorité";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§a§autorité pour "
"34";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"ras";"le";"bol";"de";"-";"-";"+";"+";"+";"+";"+";"+";"§a§ras le bol de "
"35";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"la";"bonne fortune";"de";"-";"-";"+";"+";"+";"-";"-";"-";"§a§la bonne fortune de "
"36";"+";"-";"-";"+";"-";"-";"en";" avoir";"plein";"les";"bottes";"de";"+";"-";"+";"+";"+";"+";"+";"-";"§en a§plein les bottes de "
"37";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"plein";"la";"bouche";"de";"-";"+";"-";"+";"+";"+";"+";"+";"§a§plein la bouche de "
"38";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"carte blanche";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§a§carte blanche pour "
"39";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"carte blanche";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§a§carte blanche pour "
"40";"+";"+";"-";"-";"-";"-";"<E>";" avoir";"<E>";"une";"chance";"de";"+";"-";"+";"-";"+";"-";"-";"-";"§a§une chance de "
"41";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"la";"chance";"de";"-";"-";"-";"-";"-";"-";"-";"-";"§a§la chance de "
"42";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"des";"chances";"pour";"-";"-";"+";"+";"+";"-";"-";"-";"§a§des chances pour "
"43";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"des";"chances";"pour";"-";"-";"+";"+";"+";"-";"-";"-";"§a§des chances pour "
"44";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"compétence";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§a§compétence pour "
"45";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"à";"<E>";"connaître";"de";"-";"+";"-";"-";"-";"-";"+";"-";"§a§à connaître de "
"46";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"ras";"le";"cul";"de";"-";"-";"+";"+";"+";"+";"+";"+";"§a§ras le cul de "
"47";"+";"-";"-";"+";"-";"-";"en";" avoir";"plein";"le";"cul";"de";"+";"-";"+";"+";"+";"+";"+";"-";"§en a§plein le cul de "
