"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"x1";"x2";"x3";"Exemple"
"1";"-";"+";"+";"-";"<E>";" être";"toute une";"affaire";"-";"-";"-";"§est§toute une affaire "
"2";"-";"+";"+";"+";"n'";" être";"une mince";"affaire";"-";"-";"-";"§n'est§une mince affaire "
"3";"-";"+";"+";"+";"n'";" être";"une petite";"affaire";"-";"-";"-";"§n'est§une petite affaire "
"4";"-";"+";"+";"+";"n'";" être pas";"une petite";"affaire";"-";"-";"-";"§n'est pas§une petite affaire "
"5";"-";"+";"+";"-";"<E>";" être";"la";"affaire d'un Ntps";"-";"-";"-";"§est§l'affaire d'un Ntps "
"6";"-";"+";"+";"-";"<E>";" être";"la";"affaire d'une minute";"-";"-";"-";"§est§l'affaire d'une minute "
"7";"-";"+";"+";"-";"<E>";" être";"une";"affaire qui marche";"-";"-";"-";"§est§une affaire qui marche "
"8";"-";"+";"+";"-";"<E>";" être";"une";"affaire qui tourne";"-";"-";"-";"§est§une affaire qui tourne "
"9";"+";"-";"-";"+";"n'";" être pas";"un";"aigle";"-";"-";"-";"§n'est pas§un aigle "
"10";"-";"+";"+";"-";"<E>";" être";"un pis-";"aller";"-";"-";"-";"§est§un pis-aller "
"11";"-";"+";"+";"-";"<E>";" être";"le";"arbre qui cache la forêt";"-";"-";"-";"§est§l'arbre qui cache la forêt "
"12";"-";"+";"+";"-";"<E>";" être";"tout un";"art";"-";"-";"-";"§est§tout un art "
"13";"-";"+";"+";"-";"<E>";" être";"le";"avenir";"-";"-";"-";"§est§l'avenir "
"14";"-";"+";"+";"-";"<E>";" être";"toute une";"aventure";"-";"-";"-";"§est§toute une aventure "
"15";"-";"+";"-";"+";"n'";" être que";"<E>";"baratin";"-";"-";"-";"§n'est que§baratin "
"16";"-";"+";"-";"-";"<E>";" être";"du";"baratin";"-";"-";"-";"§est§du baratin "
"17";"-";"+";"+";"-";"<E>";" être";"du";"bidon";"-";"-";"-";"§est§du bidon "
"18";"-";"+";"+";"-";"<E>";" être";"un";"bienfait des dieux";"-";"-";"-";"§est§un bienfait des dieux "
"19";"-";"+";"-";"+";"n'";" être";"de la petite";"bière";"-";"-";"-";"§n'est§de la petite bière "
"20";"-";"+";"-";"-";"<E>";" être";"du";"billard";"-";"-";"-";"§est§du billard "
"21";"-";"+";"-";"-";"<E>";" être";"du";"bois dont on fait les flûtes";"-";"-";"-";"§est§du bois dont on fait les flûtes "
"22";"+";"-";"-";"-";"<E>";" être";"un";"bon à rien";"-";"-";"-";"§est§un bon à rien "
"23";"+";"-";"-";"-";"<E>";" être";"une";"bonne à rien";"-";"-";"-";"§est§une bonne à rien "
"24";"+";"-";"-";"+";"n'";"être pas";"un mauvais";"bougre";"-";"-";"-";"§n'est pas§un mauvais bougre "
"25";"-";"+";"+";"-";"<E>";" être";"le";"bouquet";"-";"-";"-";"§est§le bouquet "
"26";"+";"+";"+";"-";"<E>";" être";"petit";"bourgeois";"-";"-";"-";"§est§petit bourgeois "
"27";"-";"+";"+";"+";"n'";" être pas";"le";"bout du monde";"-";"-";"-";"§n'est pas§le bout du monde "
"28";"+";"+";"+";"+";"n'";" être pas";"un";"cadeau";"-";"-";"-";"§n'est pas§un cadeau "
"29";"-";"+";"-";"-";"<E>";" être";"le";"calme qui précède la tempête";"-";"-";"-";"§est§le calme qui précède la tempête "
"30";"-";"+";"+";"-";"<E>";" être";"la";"carte forcée";"-";"-";"-";"§est§la carte forcée "
"31";"+";"-";"-";"-";"<E>";" être";"un";"cas";"-";"-";"-";"§est§un cas "
"32";"+";"-";"-";"-";"<E>";" être";"<E>";"celui par qui le scandale arrive";"-";"-";"-";"§est§celui par qui le scandale arrive "
"33";"-";"+";"-";"-";"<E>";" être";"<E>";"celui-ci ";"-";"-";"-";"§est§celui-ci "
"34";"-";"+";"+";"-";"<E>";" être";"une autre";"chanson";"-";"-";"-";"§est§une autre chanson "
"35";"-";"+";"-";"+";"n'";" être que";"<E>";"chansons";"-";"-";"-";"§n'est que§chansons "
"36";"+";"-";"-";"+";"n'";" être";"un mauvais";"cheval";"-";"-";"-";"§n'est§un mauvais cheval "
"37";"+";"+";"-";"-";"<E>";" être";"bon";"chic bon genre";"-";"-";"-";"§est§bon chic bon genre "
"38";"-";"+";"+";"-";"<E>";" être";"du";"chiqué";"-";"-";"-";"§est§du chiqué "
"39";"+";"-";"-";"-";"<E>";" être";"<E>";"chocolat";"-";"-";"-";"§est§chocolat "
