"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"Nc =: Nhum";"Nc =: N-hum";"Nc =: ce Qu Pind";"Nc =: ce Qu Psubj";"Nc =: V-inf W";"Det1 C1 de Nc = Poss C1";"N0 en être Det1 C1";"N0 être Det1 C1 pour Nc";"Nc avoir Det1 C1";"Exemple"
"1";"-";"+";"-";"-";"<E>";" être";"le";"a b c";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§l'a b c "
"2";"-";"+";"-";"-";"<E>";" être";"le";"ABC";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le ABC "
"3";"-";"+";"-";"-";"<E>";" être";"le";"abc";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§l'abc "
"4";"+";"+";"-";"-";"<E>";" être";"un";"abîme";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un abîme "
"5";"-";"+";"-";"-";"<E>";" être";"un";"abrégé";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§un abrégé "
"6";"-";"+";"-";"-";"<E>";" être";"une";"abréviation";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§une abréviation "
"7";"+";"-";"-";"-";"<E>";" être";"le grand";"absent";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le grand absent "
"8";"+";"-";"-";"-";"<E>";" être";"<E>";"acheteur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§acheteur "
"9";"-";"+";"-";"-";"<E>";" être";"le Dnum-ième";"acte";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le Dnum-ième acte "
"10";"-";"+";"-";"-";"<E>";" être";"le dernier";"acte";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le dernier acte "
"11";"-";"+";"-";"-";"<E>";" être";"le premier";"acte";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le premier acte "
"12";"-";"+";"-";"-";"<E>";" être";"le second";"acte";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le second acte "
"13";"-";"+";"-";"-";"<E>";" être";"un";"acte";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un acte "
"14";"+";"-";"-";"-";"<E>";" être";"un";"adepte";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un adepte "
"15";"+";"-";"-";"-";"<E>";" être";"un";"adjoint";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un adjoint "
"16";"+";"-";"-";"-";"<E>";" être";"un farouche";"adversaire";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un farouche adversaire "
"17";"+";"-";"-";"-";"<E>";" être";"un";"adversaire";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un adversaire "
"18";"+";"-";"-";"-";"<E>";" être";"un";"adversaire déclaré";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un adversaire déclaré "
"19";"-";"+";"-";"-";"<E>";" être";"<E>";"affaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§affaire "
"20";"-";"+";"-";"-";"<E>";" être";"<E>";"affaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§affaire "
"21";"-";"+";"-";"-";"<E>";" être";"la";"affaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§l'affaire "
"22";"-";"+";"-";"-";"<E>";" être";"la";"affaire";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'affaire "
"23";"-";"+";"-";"-";"<E>";" être";"une";"affaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§une affaire "
"24";"+";"-";"-";"-";"<E>";" être";"la";"aile marchante";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§l'aile marchante "
"25";"+";"-";"-";"-";"<E>";" être";"le bien-";"aimé";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"§être§le bien-aimé "
"26";"+";"-";"-";"-";"<E>";" être";"le mal-";"aimé";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"§être§le mal-aimé "
"27";"+";"-";"-";"-";"<E>";" être";"le";"aîné";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§l'aîné "
"28";"+";"-";"-";"-";"<E>";" être";"bien";"aise";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"§être§bien aise "
"29";"+";"-";"-";"-";"<E>";" être";"fort";"aise";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"§être§fort aise "
"30";"+";"-";"-";"-";"<E>";" être";"le";"allié";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'allié "
"31";"+";"-";"-";"-";"<E>";" être";"un fidèle";"allié";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un fidèle allié "
"32";"-";"+";"-";"-";"<E>";" être";"le";"alpha et l'oméga";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§l'alpha et l'oméga "
"33";"+";"-";"-";"-";"<E>";" être";"<E>";"amateur";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§amateur "
"34";"+";"-";"-";"-";"<E>";" être";"la";"âme";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§l'âme "
"35";"+";"-";"-";"-";"<E>";" être";"la";"âme damnée";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§l'âme damnée "
"36";"+";"-";"-";"-";"<E>";" être";"le meilleur";"ami";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le meilleur ami "
"37";"+";"-";"-";"-";"<E>";" être";"un grand";"ami";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§un grand ami "
"38";"+";"-";"-";"-";"<E>";" être";"un petit";"ami";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§un petit ami "
"39";"+";"-";"-";"-";"<E>";" être";"un";"ami de longue date";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un ami de longue date "
"40";"+";"-";"-";"-";"<E>";" être";"un";"ami intime";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un ami intime "
"41";"+";"-";"-";"-";"<E>";" être";"un";"ami personnel";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un ami personnel "
"42";"+";"-";"-";"-";"<E>";" être";"la bonne";"amie";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§la bonne amie "
"43";"+";"-";"-";"-";"<E>";" être";"le premier";"amour";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le premier amour "
"44";"+";"-";"-";"-";"<E>";" être";"le";"amour de la vie";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§l'amour de la vie "
"45";"-";"+";"-";"-";"<E>";" être";"le";"analogue";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'analogue "
"46";"-";"+";"-";"-";"<E>";" être";"le";"ancêtre";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'ancêtre "
"47";"+";"-";"-";"-";"<E>";" être";"le";"ancêtre";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"§être§l'ancêtre "
"48";"+";"-";"-";"-";"<E>";" être";"le mauvais";"ange";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le mauvais ange "
"49";"+";"-";"-";"-";"<E>";" être";"le";"ange gardien";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'ange gardien "
"50";"-";"+";"-";"-";"<E>";" être";"la";"année zéro";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§l'année zéro "
"51";"+";"-";"-";"-";"<E>";" être";"le";"antépénultième";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§l'antépénultième "
"52";"-";"+";"-";"-";"<E>";" être";"le";"antisymétrique";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'antisymétrique "
"53";"-";"+";"-";"-";"<E>";" être";"la";"antithèse";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'antithèse "
"54";"-";"+";"-";"-";"<E>";" être";"le";"appartement natal";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§l'appartement natal "
"55";"+";"-";"-";"-";"<E>";" être";"le";"artisan";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§l'artisan "
"56";"+";"-";"-";"-";"<E>";" être";"le";"artisan de la gloire";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§l'artisan de la gloire "
