"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Det1 Prépc Detc Cc N1";"N0 être Det1 N1 Prépc Detc Cc";"Exemple"
"1";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"abaissant de la terre";"-";"+";"§être§plus abaissant de la terre "
"2";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"abaissant de la terre entière";"-";"+";"§être§plus abaissant de la terre entière "
"3";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"abaissant du monde";"-";"+";"§être§plus abaissant du monde "
"4";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"abaissant du monde entier";"-";"+";"§être§plus abaissant du monde entier "
"5";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"abaissant que la terre ait porté";"-";"+";"§être§plus abaissant que la terre ait porté "
"6";"+";"-";"-";"<E>";" être";"<E>";"à";"<E>";"abattre";"-";"+";"§être§à abattre "
"7";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"accompli";"-";"+";"§être§un accompli "
"8";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"achevé";"-";"+";"§être§un achevé "
"9";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"actuel";"+";"+";"§être§actuel "
"10";"+";"+";"-";"<E>";" être";"un";"parmi";"les";"Adj";"-";"+";"§être§un parmi les Adj "
"11";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"Adj de la terre";"-";"+";"§être§plus Adj de la terre "
"12";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"Adj de la terre entière";"-";"+";"§être§plus Adj de la terre entière "
"13";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"Adj du monde";"-";"+";"§être§plus Adj du monde "
"14";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"Adj du monde entier";"-";"+";"§être§plus Adj du monde entier "
"15";"+";"+";"-";"<E>";" être";"<E>";"<E>";" plus";"Adj que la terre ait porté";"-";"+";"§être§plus Adj que la terre ait porté "
"16";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"ado";"-";"+";"§être§un d'ado "
"17";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"adoption";"-";"+";"§être§un d'adoption "
"18";"+";"-";"-";"<E>";" être";"un";"par";"<E>";"adoption";"-";"+";"§être§un par adoption "
"19";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"adulte";"-";"+";"§être§un d'adulte "
"20";"-";"+";"-";"<E>";" être";"un";"de";"pin";"air";"-";"+";"§être§un de pin air "
"21";"+";"+";"-";"<E>";" être";"un";"par";"<E>";"alliance";"-";"+";"§être§un par alliance "
"22";"+";"-";"-";"<E>";" être";"un";"à";"<E>";"allure de N";"-";"+";"§être§un à allure de N "
"23";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"alors";"-";"+";"§être§un d'alors "
"24";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"amateur";"-";"+";"§être§un amateur "
"25";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"ambulant";"-";"+";"§être§un ambulant "
"26";"+";"-";"-";"<E>";" être";"un";"dans";"la";"âme";"-";"+";"§être§un dans l'âme "
"27";"+";"-";"-";"<E>";" être";"Poss0";"et";"néanmoins";"ami";"-";"+";"§être§son et néanmoins ami "
"28";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"ancien";"+";"-";"§être§un ancien "
"29";"+";"+";"-";"<E>";" être";"<E>";"de";"la";"année";"-";"+";"§être§de l'année "
"30";"-";"+";"-";"<E>";" être";"un";"de";"la";"année";"+";"-";"§être§un de l'année "
"31";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"annexe";"-";"+";"§être§un annexe "
"32";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"antan";"+";"-";"§être§un d'antan "
"33";"-";"+";"-";"<E>";" être";"un";"de";"toute";"antiquité";"+";"-";"§être§un de toute antiquité "
"34";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"appoint";"-";"+";"§être§un d'appoint "
"35";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"arrivée";"-";"+";"§être§un d'arrivée "
"36";"+";"+";"-";"<E>";" être";"un";"à";"<E>";"aspect de N";"-";"+";"§être§un à aspect de N "
"37";"+";"-";"-";"<E>";" être";"s";"et";"<E>";"assimilés";"-";"+";"§être§s et assimilés "
"38";"+";"+";"-";"<E>";" être";"<E>";"<E>";"tant";"attendu";"+";"+";"§être§tant attendu "
"39";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"aujourd'hui";"-";"+";"§être§un d'aujourd'hui "
"40";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"austral";"-";"+";"§être§un austral "
"41";"+";"+";"-";"<E>";" être";"des";"<E>";"tous";"autant que Ils-0 sont";"-";"+";"§être§des tous autant qu'lls sont "
"42";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"auteur";"-";"+";"§être§un d'auteur "
"43";"+";"+";"-";"<E>";" être";"un";"comme";"un";"autre";"-";"+";"§être§un comme un autre "
"44";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"autrefois";"-";"+";"§être§un d'autrefois "
"45";"+";"+";"-";"<E>";" être";"un";"parmi";"les";"autres";"-";"+";"§être§un parmi les autres "
"46";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"avenir";"-";"+";"§être§un d'avenir "
"47";"-";"+";"-";"<E>";" être";"un";"dont";"Nhum";"avoir  secret";"-";"+";"§être§un dont Nhum a secret "
"48";"+";"+";"-";"<E>";" être";"un";"comme";"il n'y en";"avoir guère";"-";"+";"§être§un comme il n'y en a guère "
"49";"+";"+";"-";"<E>";" être";"un";"comme";"il n'y en";"avoir pas d'autres";"-";"+";"§être§un comme il n'y en a pas d'autres "
"50";"+";"+";"-";"<E>";" être";"un";"comme";"il n'y en";"avoir pas deux";"-";"+";"§être§un comme il n'y en a pas deux "
"51";"+";"+";"-";"<E>";" être";"un";"comme";"il n'y en";"avoir plus";"-";"+";"§être§un comme il n'y en a plus "
"52";"+";"+";"-";"<E>";" être";"un";"comme";"il n'y en";"avoir plus guère";"-";"+";"§être§un comme il n'y en a plus guère "
"53";"-";"+";"-";"<E>";" être";"<E>";"de";"<E>";"bas";"-";"+";"§être§de bas "
"54";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"base";"-";"+";"§être§un de base "
"55";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"beau";"+";"-";"§être§un beau "
"56";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"beau grand";"+";"-";"§être§un beau grand "
"57";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"beau petit";"+";"-";"§être§un beau petit "
"58";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"bien";"-";"+";"§être§un de bien "
"59";"+";"+";"-";"<E>";" être";"un";"en";"moins";"bien";"-";"+";"§être§un en moins bien "
"60";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"bon";"+";"-";"§être§un bon "
"61";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"boomerang";"-";"+";"§être§un boomerang "
"62";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"bord";"-";"+";"§être§de bord "
"63";"+";"-";"-";"<E>";" être";"<E>";"sur";"les";"bords";"-";"+";"§être§sur les bords "
"64";"+";"-";"-";"<E>";" être";"des";"de";"tous";"bords";"-";"+";"§être§des de tous bords "
"65";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"boréal";"-";"+";"§être§un boréal "
"66";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"bouche-trou";"-";"+";"§être§un bouche-trou "
"67";"+";"-";"-";"<E>";" être";"un";"jusqu'à";"<E>";"bout des ongles";"-";"+";"§être§un jusqu'à bout des ongles "
"68";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"brave";"+";"-";"§être§un brave "
"69";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"brave";"+";"-";"§être§un brave "
"70";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"butoir";"-";"+";"§être§un butoir "
"71";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"café du Commerce";"-";"+";"§être§un de café du Commerce "
"72";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"canon";"-";"+";"§être§un canon "
"73";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"cape et d'épée";"-";"+";"§être§un de cape et d'épée "
"74";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"caractère";"-";"+";"§être§un de caractère "
"75";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"carrefour";"-";"+";"§être§un carrefour "
"76";"-";"+";"-";"<E>";" être";"un";"à";"la";"carte";"-";"+";"§être§un à la carte "
"77";"-";"+";"-";"<E>";" être";"un";"en";"<E>";"cascade";"-";"+";"§être§un en cascade "
"78";"+";"+";"-";"<E>";" être";"un";"parmi";"les plus";"célèbres";"+";"+";"§être§un parmi les plus célèbres "
"79";"+";"+";"-";"<E>";" être";"un";"à";"cent pour";"cent";"-";"+";"§être§un à cent pour cent "
"80";"+";"+";"-";"<E>";" être";"un";"à";"Dnum pour";"cent";"-";"+";"§être§un à Dnum pour cent "
"81";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"cf";"-";"+";"§être§un cf "
"82";"-";"+";"-";"<E>";" être";"un";"en";"<E>";"chaîne";"-";"+";"§être§un en chaîne "
"83";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"chambre";"-";"+";"§être§un de chambre "
"84";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"chambre";"-";"+";"§être§un en chambre "
"85";"-";"+";"-";"<E>";" être";"un";"de";"dernière";"chance";"-";"+";"§être§un de dernière chance "
"86";"-";"+";"-";"<E>";" être";"un";"de";"la dernière";"chance";"-";"+";"§être§un de la dernière chance "
"87";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"charme";"-";"+";"§être§un de charme "
"88";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"charnière";"-";"+";"§être§un charnière "
"89";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"chef";"-";"+";"§être§un de chef "
"90";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"chef";"-";"+";"§être§un en chef "
"91";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"chien";"-";"+";"§être§un de chien "
"92";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"choc";"-";"+";"§être§un choc "
