"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>Adj1";"<ENT>C1";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"1";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"abandon";"-";"-";"§être§en plein abandon "
"2";"+";"+";"-";"-";"-";"<E>";"être";"de";"un";"bon";"acabit";"-";"-";"§être§d'un bon acabit "
"3";"+";"+";"-";"-";"-";"<E>";"être";"de";"un";"excellent";"acabit";"-";"-";"§être§d'un excellent acabit "
"4";"+";"+";"-";"-";"-";"<E>";"être";"de";"un";"mauvais";"acabit";"-";"-";"§être§d'un mauvais acabit "
"5";"+";"+";"-";"-";"-";"<E>";"être";"de";"le";"meilleur";"acabit";"-";"-";"§être§du meilleur acabit "
"6";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"actes";"-";"-";"§être§en Dnum actes "
"7";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"adresse";"-";"+";"§être§à la bonne adresse "
"8";"-";"+";"-";"-";"-";"<E>";"être";"de";"un";"autre";"âge";"-";"-";"§être§d'un autre âge "
"9";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bas";"âge";"-";"-";"§être§en bas âge "
"10";"-";"+";"-";"-";"-";"<E>";"être";"de";"le";"premier";"âge";"-";"-";"§être§du premier âge "
"11";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"pur";"agrément";"-";"-";"§être§de pur agrément "
"12";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"simple";"agrément";"-";"-";"§être§de simple agrément "
"13";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"grand";"air";"-";"+";"§être§au grand air "
"14";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"air";"-";"+";"§être§en plein air "
"15";"+";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"bon";"aloi";"-";"-";"§être§de bon aloi "
"16";"+";"+";"+";"-";"-";"<E>";"être";"de";"le";"meilleur";"aloi";"-";"-";"§être§du meilleur aloi "
"17";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"basse";"altitude";"-";"-";"§être§à basse altitude "
"18";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"haute";"altitude";"-";"-";"§être§à haute altitude "
"19";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"haute";"altitude";"-";"-";"§être§en haute altitude "
"20";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"moyenne";"altitude";"-";"-";"§être§à moyenne altitude "
"21";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"grande";"ampleur";"-";"-";"§être§de grande ampleur "
"22";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"anarchie";"-";"-";"§être§en pleine anarchie "
"23";"-";"+";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"anarchie";"-";"-";"§être§dans une sacrée anarchie "
"24";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bon";"anglais";"-";"-";"§être§en bon anglais "
"25";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"excellent";"anglais";"-";"-";"§être§en excellent anglais "
"26";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"mauvais";"anglais";"-";"-";"§être§en mauvais anglais "
"27";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"Sainte-";"Anne";"-";"+";"§être§à Sainte-Anne "
"28";"+";"-";"-";"-";"-";"<E>";"être";"dans";"Poss0";"Dnum-ième";"année";"-";"-";"§être§dans sa Dnum-ième année "
"29";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"plus haute";"antiquité";"-";"-";"§être§de la plus haute antiquité "
"30";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"août";"-";"-";"§être§à la mi-août "
"31";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grand";"apparat";"-";"-";"§être§en grand apparat "
"32";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le plus";"simple";"appareil";"-";"-";"§être§dans le plus simple appareil "
"33";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"après-midi";"-";"-";"§être§en plein après-midi "
"34";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"ascension";"-";"-";"§être§en pleine ascension "
"35";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"Dnum";"atmosphères";"-";"-";"§être§sous Dnum atmosphères "
"36";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"constante";"augmentation";"+";"-";"§être§en constante augmentation "
"37";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"bon";"augure";"-";"-";"§être§de bon augure "
"38";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"excellent";"augure";"-";"-";"§être§d'excellent augure "
"39";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"fâcheux";"augure";"-";"-";"§être§de fâcheux augure "
"40";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"mauvais";"augure";"-";"-";"§être§de mauvais augure "
"41";"+";"+";"-";"-";"-";"<E>";"être";"sous";"de";"heureux";"auspices";"-";"-";"§être§sous d'heureux auspices "
"42";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"avril";"-";"-";"§être§à la mi-avril "
"43";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"forte";"baisse";"-";"-";"§être§en forte baisse "
"44";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"légère";"baisse";"-";"-";"§être§en légère baisse "
"45";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"grande";"banlieue";"+";"+";"§être§en grande banlieue "
"46";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"en";"bas";"-";"-";"§être§d'en bas "
"47";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"plus";"bas";"-";"-";"§être§au plus bas "
"48";"+";"+";"-";"-";"-";"<E>";"être";"de";"une";"rare";"beauté";"-";"-";"§être§d'une rare beauté "
"49";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"bière";"-";"-";"§être§à sa Dnum-ième bière "
"50";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"sous-";"bois";"-";"+";"§être§en sous-bois "
"51";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"bonbon";"-";"-";"§être§à son Dnum-ième bonbon "
"52";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"boom";"-";"-";"§être§en plein boom "
"53";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"hors-";"bord";"-";"-";"§être§en hors-bord "
"54";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"court-";"bouillon";"-";"-";"§être§au court-bouillon "
"55";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"boum";"-";"-";"§être§en plein boum "
"56";"-";"+";"-";"-";"-";"<E>";"être";"dans";"un";"sacré";"boum";"-";"-";"§être§dans un sacré boum "
"57";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"bourrasque";"-";"-";"§être§en pleine bourrasque "
"58";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"première";"bourre";"-";"-";"§être§de première bourre "
"59";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"beau";"brouillard";"-";"-";"§être§dans un beau brouillard "
"60";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"brouillard";"-";"-";"§être§en plein brouillard "
"61";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"sacré";"brouillard";"-";"-";"§être§dans un sacré brouillard "
"62";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"brousse";"-";"+";"§être§en pleine brousse "
"63";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"brume";"-";"-";"§être§en pleine brume "
"64";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"brume";"-";"-";"§être§dans une sacrée brume "
"65";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"cafouillage";"-";"-";"§être§en plein cafouillage "
"66";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"bon";"calibre";"-";"-";"§être§au bon calibre "
"67";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"cambrousse";"-";"+";"§être§en pleine cambrousse "
"68";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"bon";"camp";"-";"-";"§être§dans le bon camp "
"69";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"mauvais";"camp";"-";"-";"§être§dans le mauvais camp "
"70";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"campagne";"-";"+";"§être§en pleine campagne "
"71";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"rase";"campagne";"-";"+";"§être§en rase campagne "
"72";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"gros";"caractères";"-";"-";"§être§en gros caractères "
"73";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"petits";"caractères";"-";"-";"§être§en petits caractères "
"74";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"mauvais";"cas";"-";"-";"§être§dans un mauvais cas "
"75";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"tout";"casser";"-";"-";"§être§à tout casser "
"76";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"Dnum-ième";"catégorie";"-";"-";"§être§de Dnum-ième catégorie "
"77";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"première";"catégorie";"-";"-";"§être§de première catégorie "
"78";"-";"+";"-";"-";"-";"<E>";"être";"de";"toute";"première";"catégorie";"-";"-";"§être§de toute première catégorie "
"79";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"chaleur";"-";"-";"§être§en pleine chaleur "
"80";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"aucun";"changement";"+";"-";"§être§sans aucun changement "
"81";"-";"+";"-";"-";"-";"<E>";"être";"sans";"le";"moindre";"changement";"+";"-";"§être§sans le moindre changement "
"82";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"changement";"-";"-";"§être§en plein changement "
"83";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"chapitres";"-";"-";"§être§en Dnum chapitres "
"84";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"chauffeur";"-";"-";"§être§à son Dnum-ième chauffeur "
"85";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"bon";"chemin";"-";"-";"§être§dans le bon chemin "
"86";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bon";"chemin";"-";"-";"§être§en bon chemin "
"87";"-";"+";"-";"-";"-";"<E>";"être";"de";"le";"dernier";"chic";"-";"-";"§être§du dernier chic "
"88";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"dernier";"choix";"-";"-";"§être§de dernier choix "
