"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"1";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"abîme";"de";"<E>";"perplexité";"-";"-";"§être§dans un abîme de perplexité "
"2";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"abri";"de";"le";"besoin";"-";"-";"§être§à l'abri du besoin "
"3";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"abri";"de";"les";"poursuites";"-";"-";"§être§à l'abri des poursuites "
"4";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"abri";"de";"les";"regards indiscrets";"-";"+";"§être§à l'abri des regards indiscrets "
"5";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"abri";"de";"le";"vent";"-";"+";"§être§à l'abri du vent "
"6";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"Academie";"de";"les";"Beaux-Arts";"-";"-";"§être§à la Academie des Beaux-Arts "
"7";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"Academie";"de";"les";"Inscriptions et Belles lettres";"-";"-";"§être§à la Academie des Inscriptions et Belles lettres "
"8";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"Academie";"de";"les";"Sciences Morales";"-";"-";"§être§à la Academie des Sciences Morales "
"9";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"Academie";"de";"les";"Sciences Morales";"-";"-";"§être§à la Academie des Sciences Morales "
"10";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"âge";"de";"le";"bronze";"-";"-";"§être§à l'âge du bronze "
"11";"+";"+";"-";"+";"-";"en";"être";"à";"le";"âge";"de";"le";"bronze";"-";"-";"§en est§à l'âge du bronze "
"12";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"âge";"de";"le";"fer";"-";"-";"§être§à l'âge du fer "
"13";"+";"+";"-";"+";"-";"en";"être";"à";"le";"âge";"de";"le";"fer";"-";"-";"§en est§à l'âge du fer "
"14";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"âge";"de";"la";"ménopause";"-";"-";"§être§à l'âge de la ménopause "
"15";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"âge";"de";"<E>";"pierre";"-";"-";"§être§à l'âge de pierre "
"16";"+";"+";"-";"+";"-";"en";"être";"à";"le";"âge";"de";"<E>";"pierre";"-";"-";"§en est§à l'âge de pierre "
"17";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"âge";"de";"la";"puberté";"-";"-";"§être§à l'âge de la puberté "
"18";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"âge";"de";"<E>";"raison";"-";"-";"§être§à l'âge de raison "
"19";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"âge";"de";"la";"retraite";"-";"-";"§être§à l'âge de la retraite "
"20";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"air";"de";"le";"large";"-";"+";"§être§à l'air du large "
"21";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"air";"de";"le grand";"large";"-";"+";"§être§à l'air du grand large "
"22";"-";"+";"+";"-";"-";"<E>";"être";"dans";"le";"air";"de";"le";"temps";"-";"-";"§être§dans l'air du temps "
"23";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"altitude";"de";"Dnum";"N-mesure-de-longueur";"-";"+";"§être§à l'altitude de Dnum N-mesure-de-longueur "
"24";"+";"+";"-";"-";"-";"<E>";"être";"à";"une";"altitude";"de";"Dnum";"N-mesure-de-longueur";"-";"+";"§être§à une altitude de Dnum N-mesure-de-longueur "
"25";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"altitude";"de";"mille";"pieds";"-";"+";"§être§à l'altitude de mille pieds "
"26";"+";"+";"-";"-";"-";"<E>";"être";"à";"une";"altitude";"de";"mille";"pieds";"-";"+";"§être§à une altitude de mille pieds "
