"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N0 être Prép1 Det1 C1";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"Exemple"
"1";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"abri";"de";"-";"+";"+";"+";"+";"+";"+";"-";"+";"§être§à l'abri de "
"2";"+";"-";"-";"+";"-";"en";"être";"à";"<E>";"affirmer";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§en est§à affirmer "
"3";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"âge";"à";"-";"+";"+";"+";"-";"-";"-";"-";"-";"§être§d'âge à "
"4";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"âge";"de";"-";"+";"+";"+";"-";"-";"-";"-";"-";"§être§à l'âge de "
"5";"+";"-";"-";"-";"+";"n'";"être pas";"sans";"avoir";"appris";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§n'est pas§sans a appris "
"6";"+";"-";"-";"-";"-";"<E>";"être";"sans";"<E>";"arrêt";"à";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§sans arrêt à "
"7";"-";"+";"+";"-";"-";"<E>";"être";"<E>";"un";"artifice de Nhum";"pour";"-";"+";"-";"+";"-";"+";"+";"-";"-";"§être§un artifice de Nhum pour "
"8";"-";"+";"+";"-";"-";"<E>";"être";"<E>";"une";"astuce de Nhum";"pour";"-";"+";"-";"+";"-";"+";"+";"-";"-";"§être§une astuce de Nhum pour "
"9";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"attente";"de";"-";"-";"-";"+";"-";"+";"-";"-";"-";"§être§en attente de "
"10";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"aube";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§à l'aube de "
"11";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"avis";"à";"-";"+";"+";"+";"-";"-";"-";"-";"-";"§être§d'avis à "
"12";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§au bord de "
"13";"-";"+";"+";"-";"-";"<E>";"être";"dans";"le";"but";"de";"-";"-";"-";"+";"-";"+";"-";"-";"-";"§être§dans le but de "
"14";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"calibre";"à";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§être§de calibre à "
"15";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"cause";"de";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§à cause de "
"16";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"certitude";"de";"+";"-";"-";"+";"-";"+";"-";"-";"-";"§être§dans la certitude de "
