"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"x1";"Exemple"
"1";"+";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"5692";"-";"§être§au 5692 "
"2";"-";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"abandon";"-";"§être§à l'abandon "
"3";"+";"-";"-";"-";"-";"-";"<E>";"être";"à";"le";"abattoir";"-";"§être§à l'abattoir "
"4";"+";"-";"-";"-";"-";"-";"<E>";"être";"à";"les";"abois";"-";"§être§aux abois "
"5";"+";"-";"-";"-";"-";"-";"<E>";"être";"à";"le";"abordage";"+";"§être§à l'abordage "
"6";"+";"-";"-";"-";"-";"-";"<E>";"être";"dans";"la";"administration";"-";"§être§dans l'administration "
"7";"+";"-";"-";"-";"-";"-";"<E>";"être";"dans";"la";"adversité";"-";"§être§dans l'adversité "
"8";"+";"-";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"affaire";"-";"§être§à son affaire "
"9";"+";"-";"-";"-";"-";"-";"<E>";"être";"sur";"une";"affaire";"-";"§être§sur une affaire "
"10";"+";"-";"-";"-";"-";"-";"<E>";"être";"à";"les";"affaires";"-";"§être§aux affaires "
"11";"+";"-";"-";"-";"-";"-";"<E>";"être";"dans";"les";"affaires";"-";"§être§dans les affaires "
"12";"+";"-";"-";"-";"-";"-";"<E>";"être";"dans";"la";"affliction";"-";"§être§dans l'affliction "
"13";"+";"-";"-";"-";"-";"-";"<E>";"être";"à";"le";"affût";"+";"§être§à l'affût "
"14";"-";"+";"+";"-";"-";"-";"<E>";"être";"de";"Poss0c";"âge";"-";"§être§de son âge "
"15";"-";"+";"+";"-";"-";"+";"n'";"être plus";"de";"Poss0c";"âge";"-";"§n'est plus§de son âge "
"16";"-";"+";"+";"-";"-";"-";"<E>";"être";"de";"tous les";"âges";"-";"§être§de tous les âges "
"17";"+";"-";"-";"-";"-";"-";"<E>";"être";"à";"la";"agonie";"-";"§être§à l'agonie "
"18";"+";"-";"-";"-";"-";"-";"<E>";"être";"à";"les";"agrès";"-";"§être§aux agrès "
"19";"+";"-";"-";"-";"-";"-";"<E>";"être";"à";"les";"aguets";"-";"§être§aux aguets "
"20";"+";"+";"+";"-";"-";"-";"<E>";"être";"de";"une certaine";"aide";"-";"§être§d'une certaine aide "
"21";"-";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les";"aigus";"-";"§être§dans les aigus "
"22";"-";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"ail";"-";"§être§à l'ail "
"23";"-";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"air";"-";"§être§dans l'air "
"24";"+";"+";"-";"-";"-";"-";"<E>";"être";"en";"le";"air";"-";"§être§en l'air "
