"<ID>";"<ENT><faire>";"<ENT>Det1";"<ENT>C1";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"GN =: le N";"il y avoir Det1 C1 W"
"1";"faire";"<E>";"abstinence";"+";"-";"-";"+";"+"
"2";"faire";"la";"affaire";"+";"+";"+";"-";"-"
"3";"faire";"une";"affaire";"+";"-";"-";"-";"-"
"4";"faire";"le";"âne";"+";"-";"-";"-";"-"
"5";"faire";"<E>";"antichambre";"+";"-";"-";"-";"-"
"6";"faire";"le";"appoint";"+";"-";"-";"+";"+"
"7";"faire";"la";"autruche";"+";"-";"-";"-";"-"
"8";"faire";"le";"avenir";"+";"-";"-";"-";"+"
"9";"faire";"Poss0";"bagages";"+";"-";"-";"-";"-"
"10";"faire";"Poss0";"balluchon";"+";"-";"-";"-";"-"
"11";"faire";"<E>";"bamboche";"+";"-";"-";"-";"-"
"12";"faire";"<E>";"banco";"+";"-";"-";"-";"-"
"13";"faire";"<E>";"basket";"+";"-";"-";"-";"-"
"14";"faire";"le";"beau";"+";"-";"-";"-";"-"
"15";"faire";"le";"bébé";"+";"-";"-";"-";"-"
"16";"faire";"la";"belle";"+";"-";"-";"+";"-"
"17";"faire";"la";"belle";"+";"-";"-";"-";"-"
"18";"faire";"Poss0";"besoins";"+";"-";"-";"-";"-"
"19";"faire";"la";"bête";"+";"-";"-";"-";"-"
"20";"faire";"le";"béton";"+";"-";"-";"-";"-"
"21";"faire";"le";"bien";"+";"-";"-";"+";"+"
"22";"faire";"Poss0";"blé";"+";"-";"-";"-";"-"
"23";"faire";"la";"bleue";"+";"-";"-";"-";"-"
"24";"faire";"Poss0";"boeuf";"+";"-";"-";"-";"-"
"25";"faire";"le";"bois";"+";"-";"-";"-";"-"
"26";"faire";"<E>";"boomerang";"-";"+";"-";"-";"-"
"27";"faire";"le";"bouffon";"+";"-";"-";"-";"-"
"28";"faire";"la";"bulle";"+";"-";"-";"-";"-"
"29";"faire";"<E>";"buvard";"-";"+";"-";"-";"-"
"30";"faire";"<E>";"ceinture";"+";"-";"-";"-";"-"
"31";"faire";"le";"cerbère";"+";"-";"-";"-";"-"
"32";"faire";"la";"chatte";"+";"-";"-";"-";"-"
"33";"faire";"Poss0";"chemin";"+";"-";"-";"-";"-"
"34";"faire";"le";"chocolat";"+";"-";"-";"-";"-"
"35";"faire";"la";"claque";"+";"-";"-";"+";"+"
"36";"faire";"Poss0";"classes";"+";"-";"-";"-";"-"
"37";"faire";"la";"colère";"+";"-";"-";"-";"-"
"38";"faire";"le";"coq";"+";"-";"-";"-";"-"
"39";"faire";"Poss0";"couches";"+";"-";"-";"-";"-"
"40";"faire";"<E>";"couic";"+";"-";"-";"-";"-"
"41";"faire";"le";"coup";"+";"-";"-";"-";"-"
"42";"faire";"la";"course";"+";"-";"-";"-";"+"
"43";"faire";"Poss0";"crise";"+";"-";"-";"-";"-"
"44";"faire";"du";"cul";"+";"-";"-";"-";"-"
"45";"faire";"la";"culbute";"+";"-";"-";"-";"-"
"46";"faire";"<E>";"cul-sec";"+";"-";"-";"-";"-"
"47";"faire";"la";"curée";"+";"-";"-";"+";"+"
"48";"faire";"la";"dame";"+";"-";"-";"-";"-"
"49";"faire";"la";"décision";"-";"+";"+";"-";"-"
"50";"faire";"du";"définitif";"+";"-";"-";"-";"-"
"51";"faire";"le";"dégoûté";"+";"-";"-";"-";"-"
"52";"faire";"le";"délicat";"+";"-";"-";"-";"-"
"53";"faire";"<E>";"demi-tour";"+";"+";"-";"-";"-"
"54";"faire";"Poss0";"dents";"+";"-";"-";"-";"-"
"55";"faire";"Poss0";"devoir";"+";"-";"-";"-";"-"
"56";"faire";"le";"diable";"+";"-";"-";"-";"-"
"57";"faire";"<E>";"difficulté";"-";"+";"-";"-";"+"
"58";"faire";"Poss0";"digestion";"+";"-";"-";"-";"-"
"59";"faire";"<E>";"diligence";"+";"-";"-";"-";"-"
"60";"faire";"<E>";"diversion";"+";"+";"+";"-";"-"
"61";"faire";"Poss0";"droit";"+";"-";"-";"-";"-"
"62";"faire";"le";"dur";"+";"-";"-";"-";"-"
"63";"faire";"de la";"eau";"+";"-";"-";"-";"-"
"64";"faire";"<E>";"eau";"-";"+";"-";"-";"-"
"65";"faire";"<E>";"école";"+";"+";"-";"-";"-"
"66";"faire";"Poss0";"écoles";"+";"-";"-";"-";"-"
"67";"faire";"le";"enfant";"+";"-";"-";"-";"-"
"68";"faire";"le";"entendu";"+";"-";"-";"-";"-"
"69";"faire";"<E>";"époque";"-";"+";"-";"-";"-"
"70";"faire";"de le";"esprit";"+";"-";"-";"-";"-"
"71";"faire";"des";"étincelles";"+";"-";"-";"-";"-"
"72";"faire";"<E>";"événement";"-";"+";"-";"-";"-"
"73";"faire";"un";"exemple";"+";"-";"-";"-";"-"
"74";"faire";"de le";"exercice";"+";"-";"-";"+";"-"
"75";"faire";"le";"exercice";"+";"-";"-";"+";"+"
"76";"faire";"<E>";"faillite";"-";"+";"-";"-";"+"
"77";"faire";"la";"fête";"+";"-";"-";"+";"-"
"78";"faire";"le";"fier";"+";"-";"-";"-";"-"
"79";"faire";"une";"fin";"+";"-";"-";"-";"-"
"80";"faire";"<E>";"flache-baque";"+";"-";"-";"-";"-"
"81";"faire";"le";"flambard";"+";"-";"-";"-";"-"
"82";"faire";"le";"flic";"+";"-";"-";"-";"-"
"83";"faire";"<E>";"florès";"-";"+";"-";"-";"-"
"84";"faire";"<E>";"foi";"-";"+";"-";"-";"-"
"85";"faire";"la";"foire";"+";"-";"-";"+";"-"
"86";"faire";"le";"forcing";"+";"-";"-";"+";"-"
"87";"faire";"le";"fou";"+";"-";"-";"-";"-"
"88";"faire";"Poss0";"frais";"+";"-";"-";"-";"-"
"89";"faire";"Poss0";"gammes";"+";"-";"-";"-";"-"
"90";"faire";"le";"gendarme";"+";"-";"-";"-";"-"
"91";"faire";"du";"genre";"+";"-";"-";"-";"-"
"92";"faire";"<E>";"gras";"+";"-";"-";"-";"-"
"93";"faire";"le";"guignol";"+";"-";"-";"-";"-"
"94";"faire";"<E>";"hâte";"+";"-";"-";"-";"-"
"95";"faire";"le";"histrion";"+";"-";"-";"-";"-"
"96";"faire";"Poss0";"humanités";"+";"-";"-";"+";"-"
