"<ID>";"<ENT><faire>";"<ENT>Det1";"<ENT>C1";"<ENT>Adj1";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Adj1 permut obl";"N2 =: Nhum";"N2 =: N-hum";"N0 faire Det1 C1 W à N2 de N3"
"1";"faire";"<E>";"bond";"faux";"+";"-";"-";"+";"+";"-";"-"
"2";"faire";"la";"échelle";"courte";"+";"-";"-";"+";"+";"-";"-"
"3";"faire";"un";"enterrement";"bel";"+";"+";"-";"-";"+";"-";"-"
"4";"faire";"<E>";"figure";"bonne";"+";"-";"-";"+";"+";"-";"-"
"5";"faire";"une";"jambe";"belle";"-";"+";"+";"+";"+";"-";"-"
"6";"faire";"le";"jeu";"grand";"+";"-";"-";"+";"+";"-";"-"
"7";"faire";"<E>";"mesure";"bonne";"+";"-";"-";"+";"+";"-";"-"
"8";"faire";"<E>";"mesure";"demi";"+";"-";"-";"+";"+";"-";"-"
"9";"faire";"<E>";"mesure";"juste";"+";"-";"-";"+";"+";"-";"-"
"10";"faire";"<E>";"mine";"bonne";"+";"-";"-";"+";"+";"-";"-"
"11";"faire";"<E>";"mine";"grise";"+";"-";"-";"+";"+";"-";"-"
"12";"faire";"<E>";"mine";"triste";"+";"-";"-";"+";"+";"-";"-"
"13";"faire";"<E>";"poids";"bon";"+";"+";"-";"+";"+";"-";"-"
"14";"faire";"un";"service";"long";"-";"+";"-";"+";"+";"-";"-"
"15";"faire";"<E>";"usage";"long";"-";"+";"-";"+";"+";"-";"-"
"16";"faire";"<E>";"visage";"bon";"+";"-";"-";"+";"+";"-";"-"
"17";"faire";"Poss1";"volontés";"dernières";"+";"-";"-";"+";"+";"-";"-"
"18";"faire";"Poss1";"volontés";"quatre";"+";"-";"-";"+";"+";"-";"-"

