"<ID>";"<ENT><faire>";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 et N2 faire Det1 C1 Prépc Detc Cc";"il y avoir Det1 C1 W"
"1";"faire";"la";"bête";"à";"<E>";"deux dos";"avec";"+";"-";"+";"-";"-";"+";"-"
"2";"faire";"<E>";"chambre";"à";"<E>";"part";"avec";"+";"-";"+";"-";"-";"+";"-"
"3";"faire";"le";"coup";"de";"<E>";"fusil";"contre";"+";"-";"+";"-";"-";"-";"+"
"4";"faire";"le";"coup";"de";"<E>";"poing";"contre";"+";"-";"+";"-";"-";"-";"+"
"5";"faire";"<E>";"force";"de";"<E>";"rames";"vers";"+";"+";"+";"-";"-";"-";"-"
"6";"faire";"<E>";"force";"de";"<E>";"voile";"vers";"+";"+";"+";"-";"-";"-";"-"
"7";"faire";"<E>";"lit";"à";"<E>";"part";"avec";"+";"-";"+";"-";"-";"+";"-"
"8";"faire";"<E>";"ménage";"à";"<E>";"trois";"avec";"+";"-";"+";"-";"-";"+";"-"
"9";"faire";"<E>";"part";"à";"<E>";"deux";"avec";"+";"-";"+";"-";"-";"+";"+"
"10";"faire";"le";"pied";"de";"<E>";"grue";"Loc";"+";"+";"+";"-";"-";"-";"-"
"11";"faire";"<E>";"table";"à";"<E>";"part";"avec";"+";"-";"+";"-";"-";"+";"-"
"12";"faire";"le";"trait";"de";"<E>";"union";"entre";"+";"+";"-";"+";"-";"-";"+"

