"<ID>";"<ENT>Il";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"il y avoir = <E>";"N2 =: Qu Pind";"N2 =: Qu Psubj";"N2 =: V0-inf W";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"1";"il";"-";"-";"y";"avoir";"<E>";"<E>";"<E>";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"Il y a que Paul est malade"
"2";"il";"-";"-";"y";"avoir";"à";"<E>";"<E>";"-";"-";"+";"-";"<E>";"<E>";"avantage";"pour";"+";"-";"-";"-";"-";"Il y a avantage pour Paul à rester là"
"3";"il";"-";"-";"y";"avoir";"<E>";"de le";"abus";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§de l'abus "
"4";"il";"-";"-";"y";"avoir";"<E>";"plus";"Adj";"-";"-";"-";"-";"à";"<E>";"faire";"que";"-";"-";"-";"-";"+";"il§y avoir§plus Adj à fait que "
"5";"il";"-";"-";"y";"avoir";"<E>";"plus";"Adj encore ";"-";"-";"-";"-";"<E>";"<E>";"P";"<E>";"-";"-";"-";"-";"-";"il§y avoir§plus Adj encore P "
"6";"il";"-";"-";"y";"avoir";"<E>";"de la";"ambiance";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§de l'ambiance Loc "
"7";"il";"-";"+";"n'y";"avoir pas";"<E>";"<E>";"âme";"-";"-";"-";"-";"<E>";"qui";"vive";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir pas§âme qui vive Loc "
"8";"il";"-";"-";"y";"avoir";"<E>";"<E>";"anguille";"-";"-";"-";"-";"sous";"<E>";"roche";"<E>";"-";"-";"-";"-";"-";"il§y avoir§anguille sous roche "
"9";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"anicroche";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir pas§d'anicroche Loc "
"10";"il";"-";"-";"y";"avoir";"<E>";"beaucoup de";"appelés";"-";"-";"-";"-";"et";"peu de";"élus";"Loc";"-";"+";"-";"-";"-";"il§y avoir§beaucoup d'appelés et peu de élus Loc "
"11";"il";"-";"+";"n'y";"avoir";"<E>";"rien à";"attendre";"-";"-";"-";"-";"de";"le";"cîté";"de";"+";"+";"-";"-";"-";"il§n'y avoir§rien à attendre du cîté de "
"12";"il";"-";"+";"n'y";"avoir";"<E>";"rien de";"autre";"-";"-";"-";"-";"à";"<E>";"dire";"qu'à";"-";"-";"-";"-";"+";"il§n'y avoir§rien d'autre à dire qu'à "
