"Present name of the feature";"Value type";"Former name of the feature (indication)";"Other names of feature (indic.)";"Classes where feature is encoded (indic.)";"Description of the feature";"Example(s) illustrating the feature";"Description de la propriété"
"(N1+N2) =: le fait Qu P";"binary";"N1 =: le fait Qu P";;", 35L";"A locative object noted N1 or N2 can have an abstract meaning and take the form le fait que P, close to a sentential complement";"Max progresse vers le fait qu'il faut accepter la situation";"L'objet locatif noté N1 ou N2 peut avoir un sens abstrait et prendre la forme le fait que P, proche d'une complétive"
"(N1+N2) être V-n";"binary";"N1 être V-n";"N1 =: V-n";", 35L";"A locative object noted N1 or N2 can become the subject of a sentence with être and a deverbal noun related with V as a 'predicate nominative'";"Paul fouille dans le tiroir = Le tiroir est un fouillis";"L'objet locatif noté N1 ou N2 peut devenir sujet d'une phrase avec être et un nom déverbal lié à V comme attribut du sujet"
"(N1+N2) être V-n (forme V-n)";"lexical";" ";;", 35L";"Form of a deverbal noun related with V, used when a locative object noted N1 or N2 becomes the subject of a sentence with être and the deverbal noun as a 'predicate nominative'";"fouillis";"Forme d'un nom déverbal lié à V, utilisé lorsque l'objet locatif noté N1 ou N2 devient sujet d'une phrase avec être et un nom déverbal lié à V comme attribut du sujet"
"(N2+N3) être V-n";"binary";"N2 être V-n";"N2 =: V-n";", 38L, 38LH";"A locative object noted N2 or N3 can become the subject of a sentence with être and a deverbal noun related with V as a 'predicate nominative'";"On emprisonne Max dans la cave = La cave est une prison";"L'objet locatif noté N2 ou N3 peut devenir sujet d'une phrase avec être et un nom déverbal morphologiquement lié à V comme attribut du sujet"
"(N2+N3) être V-n (forme V-n)";"lexical";" ";;", 38L, 38LH";"Form of a deverbal noun related with V, used when a locative object noted N2 or N3 becomes the subject of a sentence with être and the deverbal noun as a 'predicate nominative'";"prison";"Forme d'un nom déverbal lié à V, utilisé lorsque l'objet locatif noté N2 ou N3 devient sujet d'une phrase avec être et un nom déverbal lié à V comme attribut du sujet"
"(N2+N3) V N1";"binary";"N2 V N1";;", 38LH";"A locative object noted N2 or N3 can become the subject of a sentence with a direct object N1; the sentence is interpreted as a static result";"On emprisonne Max dans la cave = La cave emprisonne Max";"L'objet locatif noté N2 ou N3 peut devenir le sujet d'une phrase avec l'objet direct N1 ; la phrase est interprétée comme un résultat statique"
"(Nég, interro) => subj";"binary";"(Nég, interro) => subj";;", 6, 9";"Negation or interrogation in the main clause may change mood of sentential complement to subjunctive";"Je crois qu'il viendra / Je ne crois pas qu'il vienne / Crois-tu qu'il vienne ?";"La négation ou l'interrogation peuvent entraîner la mise au subjonctif de la subordonnée"
"[extrap]";"binary";"[extrap]";"il V N0 W";", 7, 8, 14, 31H, 31R, 33, 34L0, 35L, 35R, 35S, 35ST";"Subject extraposition, i.e. the subject can shift to a complement position while expletive il is introduced in subject position";"Un malheur arrive à Paul / Il arrive un malheur à Paul";"Extraposition du sujet, c'est-à-dire : le sujet peut passer en position complément alors que il impersonnel apparaît en position sujet"
"[passif de]";"binary";"[passif de]";;", 3, 4, 6, 9, 12";"Passivization with agent introduced by the preposition de; all other objects are preserved";"Tout le monde a reconnu Marie à sa voix = Marie a été reconnue de tout le monde à sa voix";"Passif à complément d'agent introduit par la préposition de ; tous les autres objets sont conservés"
"[passif par]";"binary";"[passif par]";;", 3, 4, 6, 9, 12";"Passivization with agent introduced by the preposition par; all other objects are preserved. In some cases, this feature is encoded as ""N1 être Vpp de N0 Prép N2"". The direct object may be N2 where there is no N1";"Paul a mangé la soupe dans un bol = La soupe a été mangée par Paul dans un bol";"Passif à complément d'agent introduit par la préposition par ; tous les autres objets sont conservés. Parfois, cette propriété est encodée sous l'intitulé ""N1 être Vpp de N0 Prép N2"". L'objet direct peut être N2 lorsqu'il n'y a pas de N1"
"<ENGLISH>";"lexical";;;;"Hint to a translation in English";"Max vole chercher Ida : fly";"Traduction indicative en anglais"
"<ENT>Ppv";"lexical";"Ppv";;", all";"Clitic forms frozen with the verb V. The information provided by this feature must agree with that provided by the binary features called ""Ppv =: en figé"", etc.";"Luc n'en revient pas de ce culot ; Luc se réserve pour la nuit";"Clitiques figés avec le verbe V. Les informations données dans cette propriété doivent concorder avec celles données dans les propriétés binaires intitulées ""Ppv =: en figé"", etc."
"<ENT>V";"lexical";"<ENT>";;", all";"Form of the verbal entry V. If an adverb is frozen with the verb, it is part of the form. If clitics are frozen with the verb, they are not part of the form. If a negative adverb is obligatorily present in the construction, but has a free lexical value (pas, point, nullement, aucunement, aucun, nul, personne, rien, guère, jamais, plus, nulle part), it is not part of the form.";"Ce film dure longtemps : durer Advt ; Luc n'arrête pas d'être dérangé : arrêter pas ; Votre geste ne va pas : aller";"Forme de l'entrée verbale V. Si un adverbe est figé avec le verbe, il fait partie de la forme. Si des clitiques sont figés avec le verbe, ils ne font pas partie de la forme. Si un adverbe négatif est obligatoirement présent dans la construction, mais a une valeur lexicale libre (pas, point, nullement, aucunement, aucun, nul, personne, rien, guère, jamais, plus, nulle part), il ne fait pas partie de la forme."
"<ID>";"lexical";;;", all";"Number of entry";"12";"Numéro de l'entrée";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"<OPT>";"lexical";;;", all";"Sentence exemplifying the sense of the verbal entry V";"Max achève de peindre le mur ; Max achève les blessés";"Phrase d'exemple illustrant le sens de l'entrée verbale V"
"à N1 = Ppv =: le";"binary";"à N1 = Ppv =: le";;", 7, 14";"An object à N1 can be pronominalized into a clitic pronoun le";"Paul apprend à lire = Paul l'apprend";"L'objet à N1 peut être pronominalisé en un pronom préverbal le"
"à N1 =: à ce Qu P = là";"binary";"à ce Qu P = là";;", 7, 14";"An object à N1 containing a sentential complement à ce que P can be pronominalized into là";"Toute cette histoire aboutit à ce que Luc a perdu = Toute cette histoire aboutit là";"L'objet à N1 contenant une complétive à ce que P peut être pronominalisé sous la forme là"
"à N1hum = Ppv";"binary";"à N2hum = Ppv";;", 14";"An object à N1 denoting a person can be pronominalized into a clitic pronoun";"Ceci correspond à Marie = Ceci lui correspond";"L'objet à N1 dénotant une personne peut être pronominalisé sous la forme d'un pronom préverbal"
"à N1-hum = Ppv";"binary";"à N2-hum = Ppv";;", 14";"An object à N1 with a non-human meaning can be pronominalized into a clitic pronoun";"Ceci correspond à un refus = Ceci y correspond";"L'objet à N1 à sens non humain peut être pronominalisé sous la forme d'un pronom préverbal"
"à N2 = là";"binary";"à N2 = là";;", 9, 11";"An object à N2 can be pronominalized into là";"Ceci l'a amené à se manifester = Ceci l'a amené là";"L'objet à N2 peut être pronominalisé sous la forme là"
"à Nhum =: Loc Npc";"binary";"à Nhum =: Loc corps";"à Nhum =: Loc,
à Nhum =: Loc N";", 36SL, 38LD, 38LR, 38LS";"A locative object Loc N2 can be replaced by à Nhum, denoting a person, which is interpreted as Loc Nbp, where Nbp denotes the body or a body part of the person";"Luc assène un coup à Paul = Luc assène un coup sur le corps de Paul. Luc arrache un cheveu à Paul = Luc arrache un cheveu de la tête de Paul";"L'objet locatif Loc N2 peut être remplacé par à Nhum, dénotant une personne, qui est interprété comme Loc Npc, où Npc dénote le corps ou une partie du corps de la personne"
"à Nhum destination";"binary";"à Nhum dest";;", 38L, 38LD, 38LR";"A locative object noted Loc N2 or Loc N3, interpreted as a destination, can take the form à Nhum, denoting a person";"On a diffusé le match aux Bretons = On a diffusé le match en Bretagne";"L'objet locatif noté Loc N2 ou Loc N3, interprété comme une destination, peut prendre la forme à Nhum, dénotant une personne"
"à Nhum source";"binary";"à Nhum source";;", 37E, 38L, 38LS";"A locative object Loc N2, interpreted as a source, can take the form à Nhum, denoting a person";"Luc arrache un cheveu à Paul";"L'objet locatif Loc N2, interprété comme une source, peut prendre la forme à Nhum, dénotant une personne"
"à quoi N0 V N1";"binary";"à quoi N0 V N1";;", 9";"When the sentence follows another sentence in a discourse, an object à N2 can take the form à quoi and the position in the beginning of the sentence";"(...) A quoi Paul a répliqué qu'il n'était pas d'accord";"Quand la phrase suit une autre phrase dans le discours, l'objet à N2 peut prendre la forme à quoi et être positionné en tête de phrase"
"autre Loc1";"lexical";;;", 35LD, 35LR, 35ST";"Prepositions of a locative object Loc N1 other than those represented in binary features";"Les convives farandolent autour de la table ; Les délinquants se recrutent (parmi+chez) les riches";"Prépositions de l'objet locatif Loc N1 autres que celles représentées dans les propriétés binaires intitulées ""Loc N1 =: à N1"", etc."
"autre Loc2";"lexical";;;", 35L";"Prepositions of a locative object Loc N2 other than those represented in binary features";"Max a découché de chez Léa ; Max s'en vient chez vous";"Prépositions de l'objet locatif Loc N2 autres que celles représentées dans les propriétés binaires intitulées ""Loc N2 =: à N2 destination"", etc."
"Aux =: avoir";"binary";"Aux =: avoir";;", 1, 2, 5";"V conjugates at compound tenses with auxiliary avoir";"Que Max parte a très bien convenu à Luc";"Le verbe se conjugue aux temps composés avec l'auxiliaire avoir"
"Aux =: être";"binary";"Aux =: être";;", 1, 2, 5";"V conjugates at compound tenses with auxiliary être";"Max est entré livrer un colis";"Le verbe se conjugue aux temps composés avec l'auxiliaire être"
"de combien ?";"binary";"de combien ?";;", 32RA, 35L, 35ST, 36SL, 38L, 38LD, 38LR";"An additional complement introduced by the preposition de, denoting a quantity or measurement related to the process, and usually with a cardinal numeral, answers a question in de combien ? ";"Luc approche la chaise de 50 cm ; Luc approche la chaise de combien ?";"Un complément supplémentaire introduit par la préposition de, précisant une quantité ou une mesure intéressant le procès, et souvent à déterminant numéral, répond à la question en de combien ? "
"de N1 = de ce Qu P = de là";"binary";;;", 8, 15";"An object de N1 containing a sentential complement de ce que P can be pronominalized into de là";"La situation dérive de ce que tu as échoué = La situation dérive de là";"L'objet de N1 contenant une complétive de ce que P peut être pronominalisé sous la forme de là"
"de N1 V N0";"binary";"de N1 V N0";;", 8";"The subject and an object de N1 can swap positions";"De ton silence dépend le succès de la mission";"Le sujet et l'objet de N1 peuvent intervertir leur position"
"de N2 =: de combien ?";"binary";"de combien ?";;", 37E";"An object de N2 can denote a quantity or measurement related to the process, contain a cardinal numeral, and answer a question in de combien ? ";"Paul  a tapé Luc de 100 euros ; Paul a tapé Luc de combien ?";"L'objet de N2 peut préciser une quantité ou une mesure intéressant le procès, contenir un déterminant numéral, et répondre à la question en de combien ? "
"de Nhum source";"binary";"de Nhum source";;", 38LS";"The locative object de N2, interpreted as a source, can take the form de Nhum, denoting a person";"On a éloigné l'assiette de Marie, On a soutiré de l'argent de Luc";"L'objet locatif de N2, interprété comme une source, peut prendre la forme de Nhum, dénotant une personne"
"dé-V";"binary";"dé-V";;", 32PL, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6, 38L, 38R";"Sentence with verb-centered argument structure, with the same subject, V with prefix dé-, the same direct object N1, and sometimes the indirect object N2 with preposition de";"Luc décabosse la voiture. Le vent défleurit le jardin de tous ces pavots";"Phrase à prédicat verbal avec le même sujet, V avec le préfixe dé-, le même objet direct N1, et parfois l'objet indirect N2 avec la préposition de"
"en combien ?";"binary";"en combien";;", 38PL";"An object en N2 answers a question in en combien ? ";"Luc a coupé le gâteau en combien ? En quatre. *Luc a pulvérisé le verre en combien ? En 79 morceaux";"L'objet en N2 répond à la question en en combien ? "
"il être Vpp Prép N1 (E+par N0)";"binary";"[extrap][passif]";;", 7, 8, 9, 14, 15, 16, 18";"Passive extraposition with N1, i.e. N0 V W = il être Vpp Prép N1 (E+par N0). The Prép can be empty. The same construction is obtained by applying an anomalous passivization, then extraposition, and possibly an erasement of Prép N2";"Max a contribué au désordre = Il a été contribué au désordre (E+par Max) ; Max a parlé de ce film à Léa = Il a été parlé de ce film (E+par Max) ; Max a conclu ces corollaires d'un théorème = Il a été conclu ces corollaires (E+par Max)";"Extraposition passive avec N1, c'est-à-dire : N0 V W = il être Vpp Prép N1 W (E + par N0). La Prép peut être vide. La même construction est obtenue en appliquant une passivation atypique, puis l'extraposition, et éventuellement un effacement de Prép N2"
"il être Vpp Prép N2 (E+par N0)";"binary";"[extrap][passif]";;", 11, 13, 15, 16, 18";"Passive extraposition with N2 and without N1, i.e. N0 V W = il être Vpp Prép N2 (E+par N0). The same form is obtained by applying an erasement of N1, an anomalous passivization, then extraposition";"Le ministre a discuté de quelque chose avec les syndicats = Il a été discuté avec les syndicats (E+par le ministre)";"Extraposition passive avec N2 et sans N1, c'est-à-dire : N0 V W = il être Vpp Prép N2 (E + par N0). La même forme est obtenue en appliquant l'effacement de N1, une passivation atypique, puis l'extraposition"
"il V Prép N1 N0 =: il V Prép N1 de V1c-inf W";"binary";"N2 =: de V1c-inf W";;", 5";"The extraposed subject can be an infinitive clause introduced by the preposition de, with an implicit subject coreferent with a nominal post-modifier of a nominal object N1";"Il cadre avec les plans de Paul de nous être agréable";"Le sujet extraposé peut être une infinitive introduite par la préposition de, dont le sujet implicite est coréférent à un complément de nom de l'objet N1"
"il V Prép N1 N0 =: il V Prép N1 de V1-inf W";"binary";"N2 =: de V1-inf W";;", 5";"The extraposed subject can be an infinitive clause introduced by the preposition de, with an implicit subject coreferent with an object N1";"Il échoit à Paul de faire la vaisselle";"Le sujet extraposé peut être une infinitive introduite par la préposition de, dont le sujet implicite est coréférent à l'objet N1"
"il V Prép N1 N0 =: il V Prép N1 Qu Pind";"binary";"N2 =: Qu P N2 =: Qu P";"que P";", 5";"The extraposed subject can be a sentential complement in the indicative mood, and coexist with an object N1";"Il a filtré de la réunion que Luc est candidat";"Le sujet extraposé peut être une complétive à l'indicatif et coexister avec l'objet N1"
"il V Prép N1 N0 =: il V Prép N1 Qu Psubj";"binary";"N2 =: Qu Psubj";"que Psubj";", 5";"The extraposed subject can be a sentential complement in the subjunctive mood, and coexist with an object N1";"Il arrive à Max qu'on le prenne pour un autre";"Le sujet extraposé peut être une complétive au subjonctif et coexister avec l'objet N1"
"il V Qu P W";"binary";"il V Qu P W";;", 34L0, 35L";"The subject can take the form of a sentential complement and be extraposed, i.e. shift to a complement position while expletive il is introduced in subject position; the sentence has a metaphorical meaning";"Il étincelle dans le regard de Luc qu'il est amoureux";"Le sujet peut avoir la forme d'une complétive et être extraposé, c'est-à-dire passer en position complément alors que il impersonnel apparaît en position sujet ; la phrase a un sens métaphorique"
"il y avoir V-n entre N0 et N1";"binary";"il y avoir V-n entre N0 et N1";;", 35S";"Sentence with noun-centered argument structure, with il y avoir, a deverbal noun related with V, and the preposition entre before a conjunction of N0 and N1";"Paul lutte avec Luc = Il y a une lutte entre Paul et Luc";"Phrase à prédicat nominal avec il y avoir, un nom déverbal lié à V, et la préposition entre devant une conjonction de N0 et N1"
"il y avoir V-n entre N0 et N1 (forme V-n)";"lexical";" ";;", 35S";"Form of a deverbal noun related with V, used in a sentence with noun-centered argument structure, with il y avoir, the deverbal noun, and the preposition entre before a conjunction of N0 and N1";"lutte";"Forme d'un nom déverbal lié à V dans une phrase à prédicat nominal avec il y avoir, le nom déverbal, et la préposition entre devant une conjonction de N0 et N1"
"il y avoir V-n entre N1 et N2";"binary";"il y avoir V-n entre N1 et N2";;", 36S, 36SL";"Sentence with noun-centered argument structure, with il y avoir, a deverbal noun related with V, and the preposition entre before a conjunction of N1 and N2";"J'ai choqué mon verre contre celui de Max = Il y a eu choc entre mon verre et celui de Max";"Phrase à prédicat nominal avec il y avoir, un nom déverbal lié à V, et la préposition entre devant une conjonction de N1 et N2"
"il y avoir V-n entre N1 et N2 (forme V-n)";"lexical";" ";;", 36S, 36SL";"Form of a deverbal noun related with V, used in a sentence with noun-centered argument structure, with il y avoir, the deverbal noun, and the preposition entre before a conjunction of N1 and N2";"choc";"Forme d'un nom déverbal lié à V dans une phrase à prédicat nominal avec il y avoir, le nom déverbal,, et la préposition entre devant une conjonction de N1 and N2"
"impératif => subj";"binary";"impératif => subj";;", 6, 9";"The sentential complement is in the subjunctive when the sentence expresses an order";"Je crie que Paul vienne (cf. Je crie que Paul vient)";"La complétive est au subjonctif lorsque la phrase exprime un ordre"
"Loc N1 = ici";"binary";"Loc N1 = ici";;", 2";"A locative object Loc N1 can be pronominalized into ici";"Paul entre ici";"L'objet locatif Loc N1 peut être pronominalisé en ici"
"Loc N1 = là";"binary";"Loc N1 = là";;", 2";"A locative object Loc N1 can be pronominalized into là";"Paul monte là";"L'objet locatif Loc N1 peut être pronominalisé en là"
