"Construction de base";"Conjonction de propriétés";"Conjonction de négations de propriétés";"Autre formule";"Remarques informelles";"Table";"Exemple"
"Structure N0 V N1 Prép N2 N3";;;;;;
"(N0 V N1 Loc N2 V1-inf W)";;"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N3 =: Qu Pind) et non (N3 =: Qu Psubj)";" ";"Prép2 jamais vide. L'absence de complétive en N1, N2 et N3 sert à exclure la classe 18, y compris avec renumérotation des compléments";"3";"Paul envoie Luc au village faire le marché"
"Structure N0 V Prép N1 Prép N2 Prép N3";;;;;;
"(N0 V Prép N1 Prép N2 Prép N3)";;;"((N3 =: Qu Pind) ou (N3 =: Qu Psubj))";"Prép1 =: E et/ou Prép3 =: E possibles ; N2 parfois lieu de N1";"18";"Ça a servi à Paul de prétexte pour ne pas venir
Paul prétexte une maladie auprès de Luc pour ne pas venir"
"Structure N0 V N1 Prép N2 Prép N3";;;;;;
"(N0 V N1 Loc N2 source Loc N3 destination)";"(N2 lieu source de N1) et (N3 lieu de destination de N1)";"non (N1 =: N-hum) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (Prép3 =: <E>) et non (N3 =: Qu Pind) et non (N3 =: Qu Psubj)";" ";"L'absence de complétive en N1, N2 et N3 sert à exclure la classe 18, y compris avec renumérotation des compléments. Col. N1 =: Nconc métaphore";"38LH";"On a refoulé Luc de France dans son pays"
"(N0 V N1 Loc N2 source Loc N3 destination)";"(N1 =: N-hum) et (N2 lieu source de N1) et (N3 lieu de destination de N1)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (Prép3 =: <E>) et non (N3 =: Qu Pind) et non (N3 =: Qu Psubj)";;"L'absence de complétive en N1, N2 et N3 sert à exclure la classe 18, y compris avec renumérotation des compléments.";"38L";"Luc transvase le vin de la cuve dans le tonneau"
"(N0 V N1 Prép N2 Prép N3)";" ";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (Prép3 =: <E>) et non (N3 =: Qu Pind) et non (N3 =: Qu Psubj)";"(non (N2 lieu source de N1) ou non (N3 lieu de destination de N1))";"L'absence de complétive en N1, N2 et N3 sert à exclure la classe 18, y compris avec renumérotation des compléments.";"38RR";"Luc protège le livre contre la pluie d'un plastique"
"Structure N0 V Prép N1 N2 (cet intitulé n'existe pas)";;;;;;
"(N0 V Loc N1 V0-inf W)";;"non (Prép1 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: si P ou si P)";;"""Déplacement"" mais les propriétés syntaxiques suffisent à délimiter cette table. Il ne peut pas y avoir de Prép2 (implicite dans la définition mais vient du fait que la construction de base n'a pas de Prép2)";"2";"Paul court à la pharmacie chercher de l'aspirine"
"Structure N0 V N1 Prép N2";;;;;;
"(N0 V N1 à N2)";" (N2 =: Nhum)";"non (Prép2 # à) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W)";"((N1 =: Qu Pind) ou (N1 =: Qu Psubj) ou (N1 =: si P ou si P))";" ";"9";"Paul crie à Léa que tout est fini";
"(N0 V N1 à N2)";" ";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (Prép2 # à)";"((N2 =: Qu Pind) ou (N2 =: Qu Psubj) ou (N2 =: V0-inf W) ou (N2 =: V1-inf W))";"La condition ""non (N1 =: Qu Pind) et non (N1 =: Qu Psubj)"" contribue à exclure la table 16";"11";"Paul dresse Léa à tout ranger"
"(N0 V N1 Prép N2)";" ";"non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W)";"((N1 =: Qu Pind) ou (N1 =: Qu Psubj)) et ((Prép2 # à) ou non (N2 =: Nhum))";;"10";"Ceci comporte pour Flo qu'elle doit partir tôt"
"(N0 V N1 de N2)";" ";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (Prép2 # de)";"((N2 =: Qu Pind) ou (N2 =: Qu Psubj) ou (N2 =: V1-inf W))";"La condition ""non (N1 =: Qu Pind) et non (N1 =: Qu Psubj)"" contribue à exclure la table 16";"13";"Paul informe Luc de ce que Léa arrive"
"(N0 V N1 Prép N2)";;"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (Prép2 # à+de) et non (N2 lieu source de N1) et non (N2 lieu de destination de N1) et non (N2 lieu statique de N1) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N0 V N1 et N2)";"((N2 bénéficiaire) ou (N2 détrimentaire))";"(N0 =: Nhum) et (N2 =: Nhum) --- Col. N0 V N1 Loc N --- Col. N0 V N2 (E + de N1)";"36DT";"Paul offre des fleurs à Léa
Ida a volé une fleur à Luc
Ida a reçu une fleur de Luc"
