"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V2c-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Qu Pind";"N1 =: Qu P = Aux V0-inf W";"N1 =: Qu Psubj";"N1 =: de V0-inf W";"N1 =: de V2-inf W";"N1 =: de V2c-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1-hum = Ppv";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 être V-ant pour N1";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép N2 =: à Nq";"Prép N2 =: dans Nq";"Prép N2 =: de Nq";"N1 être Vpp par N0 Prép N2";"N1 être Vpp de N0 Prép N2";"<OPT>"
"1";"-";"+";"+";"-";"+";"-";"<E>";"abolir";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ces ordres ont aboli pour Max de devoir faire ça"
"2";"~";"~";"~";"~";"~";"~";"<E>";"abolir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"J'ai aboli de ma mémoire que Paul était revenu"
"3";"+";"-";"-";"-";"-";"-";"<E>";"abriter";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max abrite dans son subconscient qu'il hait Ida"
"4";"+";"+";"+";"+";"-";"+";"<E>";"accoler";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"J' ai accolé à mon rapport que Max avait fait une faute professionnelle"
"5";"+";"+";"+";"+";"-";"-";"<E>";"accréditer";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"auprès de";"+";"-";"-";"-";"-";"+";"-";"Max a accrédité auprès des parents la nouvelle que Luc est mort"
"6";"+";"+";"+";"+";"-";"+";"<E>";"accrocher";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Paul a accroché à son rapport que l'impôt était inégal"
"7";"+";"+";"+";"+";"-";"+";"<E>";"adjoindre";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a adjoint à son rapport que tout était en ordre"
"8";"+";"-";"-";"-";"-";"-";"<E>";"agrafer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a agrafé à son rapport qu'il y avait eu un accident"
"9";"+";"+";"+";"+";"-";"+";"<E>";"ajouter";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a ajouté au dossier que l'accord avait été respecté"
"10";"+";"+";"+";"-";"-";"-";"<E>";"amener";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a amené dans la conversation qu'il était ministre"
"11";"~";"~";"~";"~";"~";"~";"<E>";"amorcer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"par";"~";"~";"~";"~";"~";"~";"~";"Max a amorcé par ces mesures que le travail reprenne"
"12";"+";"+";"+";"+";"-";"+";"<E>";"amputer";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a amputé de son rapport que Luc avait fait une faute"
"13";"+";"+";"+";"+";"-";"+";"<E>";"ancrer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a ancré dans sa mémoire qu'il devait retrouver Ida"
"14";"+";"+";"+";"+";"-";"+";"<E>";"annexer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a annexé à son rapport que Luc était en faute"
"15";"+";"+";"+";"-";"-";"+";"<E>";"apporter";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Cette remarque a apporté dans la discussion que tout devait "
"16";"+";"-";"-";"-";"-";"-";"<E>";"apprendre";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"par";"+";"-";"-";"-";"-";"-";"-";"Max a appris (par+de)Luc qu'il avait réussi"
"17";"+";"+";"+";"+";"-";"+";"<E>";"arracher";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a arraché de l'esprit de Luc qu'il se venge"
"18";"+";"-";"-";"-";"-";"-";"<E>";"arranger";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"avec";"+";"-";"-";"-";"-";"-";"-";"Max a arrangé avec Luc que tout fonctionne pour demain"
"19";"+";"+";"+";"+";"-";"+";"<E>";"attacher";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a attaché à son rapport que Luc a fait une faute"
"20";"+";"-";"-";"-";"-";"-";"<E>";"attraper";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a attrapé au vol que Luc était parti"
"21";"+";"+";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"pour+comme";"-";"+";"+";"+";"+";"-";"-";"Max a pour preuve de cela qu'il ne s'est pas montré"
"22";"+";"+";"+";"+";"-";"+";"<E>";"balayer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a balayé de son esprit que Luc l'avait trompé"
"23";"+";"+";"+";"+";"-";"+";"<E>";"bannir";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a banni de son esprit qu'il puisse faire de telles choses"
"24";"+";"-";"-";"-";"-";"-";"<E>";"barbouiller";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a barbouillé sur le mur qu'il protestait"
"25";"+";"-";"-";"-";"-";"-";"<E>";"barrer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a barré de son rapport qu'Ida avait fait une faute"
"26";"+";"-";"-";"-";"-";"-";"<E>";"baser";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"sur";"-";"+";"-";"-";"-";"+";"-";"Max a basé sur ces considérations de partir demain"
"27";"+";"-";"-";"-";"-";"-";"<E>";"bâtir";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"Loc";"-";"+";"-";"-";"-";"+";"-";"Max a bâti sur des principes faux que e=-mc2"
"28";"+";"+";"+";"+";"-";"+";"<E>";"bercer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max berce dans sa tête qu'il se vengera"
"29";"+";"-";"-";"-";"-";"-";"<E>";"biffer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a biffé de son rapport qu'Ida avait fait une faute"
"30";"~";"~";"~";"~";"~";"~";"<E>";"bloquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"Ceci bloque pour paul de pouvoir faire ça"
"31";"+";"-";"-";"-";"-";"-";"<E>";"bomber";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a bombé sur le mur que les flics étaient vaches"
"32";"+";"-";"-";"-";"-";"-";"<E>";"broder";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a brodé sur ce thème que Luc était bête et méchant"
"33";"+";"+";"+";"-";"-";"+";"<E>";"butiner";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a butiné  dans ce rapport que rien ne fonctionnait"
"34";"+";"-";"-";"-";"-";"-";"<E>";"capter";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"sur";"-";"+";"-";"+";"+";"+";"+";"Max a capté sur son poste que Luc était un danger"
"35";"+";"-";"-";"-";"-";"-";"<E>";"caractériser";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"par";"-";"+";"-";"-";"-";"+";"-";"Max a caractérisé par deux observations que Luc avait réussi"
"36";"+";"-";"-";"-";"-";"-";"<E>";"changer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a changé dans le texte que Luc mourrait"
"37";"+";"+";"+";"+";"-";"+";"<E>";"chasser";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a chassé de sa mémoire qu'Ida était partie"
"38";"+";"-";"-";"-";"-";"-";"<E>";"chiffrer";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"en";"-";"+";"-";"-";"-";"+";"-";"Max chiffre en code que Luc arrivera demain"
"39";"+";"-";"-";"-";"-";"-";"<E>";"coder";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"en";"-";"+";"-";"-";"-";"+";"-";"Max code en octal que le programme bouclera"
"40";"+";"-";"-";"-";"-";"-";"<E>";"coller";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a collé à son rapport que Luc était en faute"
"41";"+";"-";"-";"-";"-";"-";"<E>";"combiner";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"avec";"+";"-";"-";"-";"-";"-";"-";"Max a combiné avec Luc qu'il se rendrait à gap"
