"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 être V-n";"N1 V";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N1 être V-n";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 =: Nconc métaphore";"N1 =: Nabs métaphore";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"1";"+";"+";"-";"-";"<E>";"-";"-";"abandonner";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La chance abandonne Max";"to leave"
"2";"-";"+";"-";"-";"<E>";"-";"-";"abasourdir";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le bruit a abasourdi Max";"to stun"
"3";"+";"-";"-";"-";"<E>";"-";"-";"abattre";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La police a abattu le truand";"to shoot down"
"4";"+";"-";"-";"-";"<E>";"-";"-";"abattre";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le peuple abattra le tyran";"to fell"
"5";"~";"~";"~";"~";"<E>";"-";"-";"aborder";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a abordé un passant dans la rue";"to approach"
"6";"~";"~";"~";"~";"<E>";"-";"-";"accabler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le témoignage accable l'accusé";"?"
"7";"+";"-";"-";"-";"<E>";"-";"-";"accolader";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le ministre a accoladé le héros";"to embrace"
"8";"+";"-";"-";"-";"<E>";"-";"-";"accompagner";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max accompagne Léa";"to accompany"
"9";"+";"-";"-";"-";"<E>";"-";"-";"accoster";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a accosté une dame dans la rue";"to accost"
"10";"+";"-";"-";"-";"<E>";"-";"-";"accrocher";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Jean a accroché une nana dans la rue";"to chat up"
"11";"+";"-";"-";"-";"<E>";"-";"-";"accrocher";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Les guérilleros ont accroché les soldats dans le défilé";"to engage"
"12";"+";"-";"-";"-";"<E>";"-";"-";"acheter";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a acheté un député";"to buy"
"13";"~";"~";"~";"~";"<E>";"-";"-";"achever";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a achevé les blessés";"?"
"14";"+";"-";"+";"-";"<E>";"-";"-";"administrer";"-";"+";"-";"+";"-";"+";"-";"+";"administrateur";"administré";"Ce fonctionnaire administre un grand nombre d'employés";"to run"
"15";"+";"-";"-";"-";"<E>";"-";"-";"adopter";"-";"+";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Paul a adopté un petit Hindou";"to adopt"
"16";"~";"~";"~";"~";"<E>";"-";"-";"affamer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc affame (le peuple+la ville)";"?"
"17";"~";"~";"~";"~";"<E>";"-";"-";"affranchir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a affranchi son esclave";"?"
"18";"~";"~";"~";"~";"<E>";"-";"-";"affronter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a affronté ses chefs";"?"
"19";"~";"~";"~";"~";"<E>";"-";"-";"agacer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max agace les filles";"?"
"20";"+";"-";"-";"-";"<E>";"-";"-";"agrafer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ce raseur a agrafé Max dans la rue";"to nab"
"21";"+";"+";"-";"-";"<E>";"-";"-";"agresser";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max a agressé une passante";"to attack"
"22";"+";"-";"-";"-";"<E>";"-";"-";"aimer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max aime Ida";"to love"
"23";"~";"~";"~";"~";"<E>";"-";"-";"ajourner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La commission a ajourné ce conscrit";"?"
"24";"+";"-";"-";"-";"<E>";"-";"-";"alarmer";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Jo a alarmé les pompiers";"to alarm"
"25";"~";"~";"~";"~";"<E>";"-";"-";"aligner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le flic a aligné Bob";"?"
"26";"+";"+";"-";"-";"<E>";"-";"-";"aliter";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a alité Luc|Loc N=lit|";"to confine to bed"
"27";"~";"~";"~";"~";"<E>";"-";"-";"allonger";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le prof a allongé dix élèves à l'examen";"?"
"28";"+";"-";"-";"-";"<E>";"-";"-";"allumer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a allumé Luc à la carabine";"to bump off"
"29";"+";"-";"-";"-";"<E>";"-";"-";"alpaguer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La police a alpagué Max";"to nab"
"30";"+";"-";"-";"-";"<E>";"-";"-";"alphabétiser";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max alphabétise les immigrés";"to teach how to read and write"
"31";"+";"-";"-";"-";"<E>";"-";"-";"amorcer";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a amorcé les truites la veille";"to bait"
"32";"+";"-";"+";"-";"<E>";"-";"-";"analyser";"-";"+";"-";"-";"+";"+";"-";"+";"psychanalyste";"<E>";"Sigmund analyse Flora";"to psychoanalyze"
"33";"+";"-";"-";"-";"<E>";"-";"-";"anathématiser";"-";"+";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max anathématise les femmes";"to anathematize"
"34";"+";"-";"+";"-";"<E>";"-";"-";"anesthésier";"-";"+";"-";"-";"-";"+";"-";"-";"anesthésiste";"<E>";"Le chirurgien a anesthésié Max";"to anaesthetize"
"35";"~";"~";"~";"~";"<E>";"-";"-";"annexer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul m'a annexé pendant 3 heures";"?"
"36";"~";"~";"~";"~";"<E>";"-";"-";"annoncer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le portier a annoncé Max";"?"
"37";"~";"~";"~";"~";"<E>";"-";"-";"apologiser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On apologise toujours ce ministre";"?"
"38";"+";"-";"-";"-";"<E>";"-";"-";"apostropher";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a apostrophé Luc";"to shout at"
"39";"+";"-";"-";"-";"<E>";"-";"-";"appeler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max appelle Luc au téléphone";"to call"
"40";"+";"-";"-";"-";"<E>";"-";"-";"applaudir";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La foule a applaudi les joueurs";"to applaud"
"41";"+";"-";"-";"-";"<E>";"-";"-";"appréhender";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La police a appréhendé Luc";"to apprehend"
"42";"+";"-";"-";"-";"<E>";"-";"-";"approcher";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a approché plusieurs compagnies";"to approach"
"43";"+";"-";"-";"-";"<E>";"-";"-";"approcher";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max approche les plus grands artistes";"to approach"
"44";"+";"-";"-";"-";"<E>";"-";"-";"arrêter";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La police a arrêté Max";"to arrest"
"45";"+";"-";"-";"+";"<E>";"-";"-";"arrêter";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le docteur a arrêté Ida une semaine";"to confine to bed"
"46";"+";"-";"-";"-";"<E>";"-";"-";"arroser";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a arrosé tous les flics";"to grease"
"47";"-";"+";"-";"-";"<E>";"-";"-";"asexuer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Cette mode asexue les jeunes";"to make asexual"
"48";"+";"+";"-";"-";"<E>";"-";"-";"asphyxier";"-";"+";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Ces gaz ont asphyxié le bébé";"to suffocate"
"49";"+";"-";"-";"-";"<E>";"-";"-";"assaillir";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Les remords assaillent Luc";"to assail"
"50";"+";"-";"-";"-";"<E>";"-";"-";"assaisonner";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le juge a assaisonné Max";"to tell off"
"51";"+";"-";"+";"-";"<E>";"-";"-";"assassiner";"-";"+";"-";"-";"+";"-";"-";"+";"assassin";"<E>";"Max a assassiné sept enfants";"to murder"
"52";"~";"~";"~";"~";"<E>";"-";"-";"assiéger";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les remords assiègent Max";"?"
"53";"~";"~";"~";"~";"<E>";"-";"-";"assister";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max assiste (les nécessiteux+Luc)";"?"
"54";"+";"+";"-";"-";"<E>";"-";"-";"assommer";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Ida a assommé Max avec un gourdin";"to knock out"
"55";"-";"+";"-";"-";"<E>";"-";"-";"assoupir";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"La chaleur a assoupi Max";"to make drowsy"
"56";"~";"~";"~";"~";"<E>";"-";"-";"attaquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a attaqué Marie(E+dans la rue)";"to attack"
