"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"thèmeN1";"N0 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"V-n instrument";"N1 être Vpp W";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"1";"-";"+";"<E>";"-";"-";"abattre";"-";"+";"-";"avion";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";" Abattre un avion"
"2";"+";"-";"<E>";"-";"-";"abattre";"-";"+";"-";"travail";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a abattu du travail"
"3";"~";"~";"<E>";"-";"-";"abattre";"-";"+";"-";"tyran";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le peuple  abattra le tyran"
"4";"~";"~";"<E>";"-";"-";"abattre";"-";"+";"-";"bétail";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a abattu du bétail"
"5";"+";"-";"<E>";"-";"-";"abattre";"-";"+";"-";"carte";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a abattu (une carte+le roi de coeur+un full aux as par les valets)"
"6";"~";"~";"<E>";"-";"-";"abattre";"-";"+";"-";"distance";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a abattu douze km. en une heure"
"7";"~";"~";"<E>";"-";"-";"abdiquer";"-";"+";"-";"autorité";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a abdiqué toute autorité devant les grévistes"
"8";"~";"~";"<E>";"-";"-";"abdiquer";"-";"+";"-";"dignité";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a abdiqué sa dignité"
"9";"~";"~";"<E>";"-";"-";"abjurer";"-";"+";"-";"erreur";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a abjuré (sa foi+ses erreurs)"
"10";"~";"~";"<E>";"-";"-";"aboyer";"-";"+";"-";"nom";"~";"~";"~";"~";"+";"-";"~";"aboiement";"?";"L'aboyeur aboie le nom des invités"
"11";"~";"~";"<E>";"-";"-";"abroger";"-";"+";"-";"loi";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le parlement abroge cette loi"
"12";"~";"~";"<E>";"-";"-";"accuser";"-";"+";"-";"taille";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"La robe accuse (le contour+la taille)de Léa"
"13";"+";"-";"<E>";"-";"-";"adjectiver";"-";"+";"-";"mot";"-";"-";"-";"+";"+";"-";"-";"<E>";"?";"Max adjective tous les mots"
