"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"Loc N1 =: Loc N1 source, Loc # de";"Loc N1 = Ppv =: en";"N0 V N1 source";"N0 lui V Loc N1pc";"N0 V Prép N0pc";"N1 =: le fait Qu P";"N1 être V-n";"N0 être V-ant Prép N1";"[extrap]";"N0 =: idée, N1 =: esprit";"N0 =: Nhum, N1 =: Nabs";"il V Qu P W";"N1 être V-n (forme V-n)";"<OPT>"
"1";"~";"~";"~";"~";"~";"ne";"-";"+";"bouger";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Bouge pas, j'arrive"
"2";"~";"~";"~";"~";"~";"se";"+";"-";"bouger";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est bougé de sa place"
"3";"+";"-";"-";"-";"-";"ne";"-";"+";"décoller";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"Zoé ne décolle pas du bureau"
"4";"~";"~";"~";"~";"~";"<E>";"-";"-";"déhotter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a déhotté de(bonne heure+chez lui)"
"5";"~";"~";"~";"~";"~";"<E>";"-";"-";"démarrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a démarré de chez lui(E+à 3 heures)"
"6";"-";"+";"-";"-";"-";"<E>";"-";"-";"dérailler";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"rail";"Le train a déraillé de la voie"
"7";"~";"~";"~";"~";"~";"<E>";"-";"-";"dérocher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'alpiniste a déroché de la(plate-forme+roche)"
"8";"+";"-";"-";"-";"-";"<E>";"-";"-";"déserter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"Max a déserté de son régiment"
"9";"+";"-";"-";"-";"-";"<E>";"-";"-";"dévisser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Max a dévissé (dans la faille+de la paroi)"
"10";"+";"+";"-";"-";"-";"<E>";"-";"-";"échapper";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"Le vase lui a échappé des mains"
"11";"+";"-";"-";"-";"-";"<E>";"-";"-";"éclore";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Deux poussins(ont+sont) éclos d'un même oeuf"
"12";"-";"+";"-";"-";"-";"<E>";"-";"-";"émaner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"Une odeur étrange émane de ce corps"
"13";"-";"+";"-";"-";"-";"s'";"+";"-";"évanouir";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"L'image s'est évanouie de l'écran"
"14";"-";"+";"-";"-";"-";"<E>";"-";"-";"filtrer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"filtre";"De l'eau filtre du plafond"
"15";"-";"+";"-";"-";"-";"<E>";"-";"-";"fluer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"Un filet d'eau fluait de la source"
"16";"-";"+";"-";"-";"-";"<E>";"-";"-";"partir";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"Des cris partent de la foule"
"17";"~";"~";"~";"~";"~";"<E>";"-";"-";"partir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La tache est partie de sa chemise"
"18";"-";"+";"-";"-";"-";"<E>";"-";"-";"provenir";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"provenance";"Ce chèque provient de votre carnet"
"19";"~";"~";"~";"~";"~";"<E>";"-";"-";"ressurgir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'eau ressurgit de cette faille"
"20";"-";"+";"-";"-";"-";"<E>";"-";"-";"sauter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Le nom de Max a sauté de la liste"
"21";"~";"~";"~";"~";"~";"ne";"-";"+";"sortir";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ce secret ne sortira pas de la réunion"
"22";"-";"+";"-";"-";"-";"<E>";"-";"-";"sourdre";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"L'eau sourd du mur"
"23";"+";"-";"-";"-";"-";"<E>";"-";"-";"valser";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Le trésorier a valsé de son poste"
"24";"~";"~";"~";"~";"~";"<E>";"-";"-";"venir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ce tapis vient de Fez"

