"<ID>";"N0 =: N-hum";"N0 être V-n";"N2 bénéficiaire";"N2 détrimentaire";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"N1 =: Dnum Nmonnaie";"N1 =: coup";"Prép2 =: à";"N0 V N1 de N2 source";"Ppv =: en";"N2 =: N-hum";"Prép N2-hum = Ppv =: lui";"Ppv =: y";"N2 être V-n";"N2 =: Npl obl";"N1 être Vpp (statique)";"N1 =: Nabs";"N0 V N1 à N2 Dnum Nmonnaie";"N0 V N2 (E+de N1)";"N0 V N1 Loc N-hum";"N0 V N1 à N2 pour Dnum Nmonnaie";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"1";"~";"~";"~";"~";"<E>";"abandonner";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a abandonné ses biens à Marie";"?"
"2";"-";"-";"+";"-";"<E>";"abouler";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max aboule du fric à Ida";"to hand over"
"3";"+";"-";"-";"+";"<E>";"accepter";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";;"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a accepté un lit de Marie";"to accecpt"
"4";"+";"-";"+";"-";"<E>";"accorder";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Paul accorde un prêt";"to grant"
"5";"-";"-";"-";"+";"<E>";"acheter";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"<E>";"achat";"<E>";"Max a acheté un lit à Luc";"to buy"
"6";"+";"-";"-";"+";"<E>";"acquérir";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"<E>";"acquisition";"<E>";"Paul a acquis ce tableau au marchand";"to purchase"
"7";"-";"-";"+";"-";"<E>";"acquitter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Jean a acquitté cette dépense à Max";"to pay"
"8";"+";"-";"+";"-";"<E>";"adjoindre";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"ajoint";"<E>";"Luc a adjoint un collaborateur à Eva";"to appoint"
"9";"-";"+";"+";"-";"<E>";"adjuger";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"juge";"<E>";"<E>";"Max a adjugé le prix à Paula";"to knock down"
"10";"+";"+";"+";"-";"<E>";"administrer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"ministre";"<E>";"<E>";"Max a administré une(drogue+claque)à Marie";"to administer"
"11";"~";"~";"~";"~";"<E>";"adresser";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a adressé un blâme au responsable";"?"
"12";"+";"-";"+";"-";"<E>";"adresser";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"adresse";"Paul a adressé un paquet à Jacques";"to send"
"13";"-";"-";"+";"-";"<E>";"affermer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"<E>";"fermage";"fermier";"Ce paysan a affermé ce pré au maître";"to lease"
"14";"-";"+";"-";"+";"<E>";"affermer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"fermier";"fermage";"<E>";"Le maître a affermé ce pré à ce paysan";"to rent"
"15";"-";"-";"-";"+";"<E>";"affréter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a affrété (un camion à Yvon+le transporteur)";"to charter"
"16";"+";"-";"+";"-";"<E>";"aliéner";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Cette mesure a aliéné à Luc (E+la sympathie de) les petits commerçants";"to alienate"
