"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N0 être V-n";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N0 V N0pc W";"N1 être V-n";"N1 =: coup";"N0 V N2 source de N1";"N0 V N1 de N2 source";"N0 V N1 Loc N3 destination";"Loc N3 =: dans N3 destination";"Loc N3 =: sur N3 destination";"Loc N3 =: contre N3 destination";"Loc N3 =: à N3 destination";"par N4";"(N2+N3) être V-n";"V-n instrument";"V-n transport";"V-n chemin";"de combien ?";"sur combien ?";"Loc N3 =: sur lui1-même";"N1 être Vpp (statique)";"à Nhum destination";"à Nhum source";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"V-n transport (forme V-n)";"V-n chemin (forme V-n)";"(N2+N3) être V-n (forme V-n)";"<OPT>"
"1";"-";"-";"-";"-";"<E>";"abaisser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max abaisse la manette de ON à OFF"
"2";"-";"-";"-";"-";"<E>";"accompagner";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max accompagne les colis de Gap à Dax"
"3";"-";"-";"-";"-";"<E>";"acheminer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"chemin";"<E>";"Max achemine les vivres d'Europe en Asie"
"4";"-";"-";"-";"-";"<E>";"aéroporter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"aéroport";"<E>";"<E>";"La France a aéroporté des renforts dans ce pays"
"5";"-";"-";"-";"-";"<E>";"amener";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"?";"<E>";"Max amène les vivres d'Europe en Asie"
"6";"+";"-";"-";"-";"<E>";"apporter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max apporte ses disques à la maison"
"7";"-";"-";"+";"-";"<E>";"avancer";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max avance le pion de la case 5 à la case 10"
"8";"+";"-";"+";"-";"<E>";"baisser";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max baisse le curseur du repère 8 au repère 5"
"9";"-";"-";"-";"-";"<E>";"balader";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max balade le spot de la porte à la fenêtre"
"10";"-";"-";"+";"-";"<E>";"balancer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max balance la botte du grenier dans la cour"
"11";"-";"-";"-";"-";"<E>";"balancer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max balance Ida de gauche à droite"
"12";"~";"~";"~";"~";"<E>";"ballotter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Le mouvement ballotte Max entre les cloisons"
"13";"-";"-";"+";"-";"<E>";"basculer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max bascule la botte du grenier dans la cour"
"14";"-";"-";"+";"-";"<E>";"bouger";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a bougé le vase de son support"
"15";"-";"-";"+";"-";"<E>";"brinquebaler";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max brinqueballe les colis de gap à Dax"
"16";"-";"-";"-";"-";"<E>";"brouetter";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"brouette";"<E>";"<E>";"Max brouette la terre du jardin sur la terrasse"
"17";"-";"-";"+";"-";"<E>";"cahoter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"La camion cahote les colis de Gap à Dax"
"18";"-";"-";"-";"-";"<E>";"camionner";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"camion";"<E>";"<E>";"Max camionne les colis de Gap à Dax"
"19";"-";"-";"-";"-";"<E>";"canaliser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"canal";"<E>";"Max canalise les voitures de l'entrée à la sortie"
"20";"-";"-";"-";"-";"<E>";"carrioler";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"carriole";"<E>";"<E>";"Max carriole les colis de Gap à Dax"
"21";"+";"-";"-";"-";"<E>";"catapulter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"catapulte";"<E>";"<E>";"<E>";"Max catapulte ce bloc dans le ravin"
"22";"-";"-";"-";"-";"<E>";"charrier";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"charrette";"<E>";"<E>";"Max a charrié du ciment dans la cour"
"23";"-";"-";"-";"-";"<E>";"charroyer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"<E>";"<E>";"<E>";"<E>";"Max charroie les cailloux du jardin"
"24";"-";"-";"-";"-";"<E>";"colporter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max colporte des bibles de Lille à Gap"
"25";"-";"-";"-";"-";"<E>";"coltiner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"<E>";"<E>";"<E>";"<E>";"Max coltine les cailloux du jardin"
"26";"-";"-";"-";"-";"<E>";"convoyer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"convoi";"<E>";"<E>";"<E>";"<E>";"Max convoie les colis de Gap à Dax"
"27";"-";"-";"+";"-";"<E>";"culbuter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max culbute la botte du grenier dans la cour"
"28";"-";"-";"-";"-";"<E>";"décentraliser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"On a décentralisé les services de Paris à Gap"
"29";"~";"~";"~";"~";"<E>";"décuver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a décuvé le vin de la cuve dans le tonneau"
"30";"~";"~";"~";"~";"<E>";"délocaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"On a délocalisé ce service de Paris à Dax"
"31";"-";"-";"+";"-";"<E>";"déménager";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max déménage le piano du salon dans la cave"
"32";"-";"-";"-";"-";"<E>";"déplacer";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"place";"Max déplace le pion de la case 5 à la case 10"
"33";"~";"~";"~";"~";"<E>";"déporter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Le choc a déporté la voiture de la route vers le fossé"
