"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"(N2+N3) V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N1 être V-n";"N0 V (N2+N3) (E+de N1)";"N0 V N1 Loc N2 source";"N0 V N1 Loc N3 destination";"Loc N2 =: de N2 source";"Loc N2 =: Loc N2 source, Loc # de";"Loc N2 = Ppv =: en";"Loc N3 =: dans N3 destination";"Loc N3 =: sur N3 destination";"Loc N3 =: contre N3 destination";"Loc N3 =: à N3 destination";"Loc N3 =: vers N3 destination";"Loc N3 = Ppv =: y";"(N2+N3) être V-n";"N1 être Vpp (statique)";"N1 =: Nconc métaphore";"N1 =: mot, (N2+N3) =: texte";"N1 =: idée, (N2+N3) =: esprit";"N0 V N1abs Loc (N2abs+N3abs)";"N0 V N1hum Loc (N2abs+N3abs)";"N1 =: Qu P métaphore";"N1 être V-n (forme V-n)";"(N2+N3) être V-n (forme V-n)";"<OPT>"
"1";"-";"-";"-";"-";"<E>";"conduire";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max conduit Ida dans le salon"
"2";"-";"-";"-";"-";"<E>";"cornaquer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max a cornaqué Luc(dans les différents services+d'un endroit à l'autre)"
"3";"-";"-";"-";"-";"<E>";"courser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max course Luc jusque dans la grange"
"4";"+";"-";"-";"-";"<E>";"déporter";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Les Huns déportent leurs amis en Asie"
"5";"-";"-";"-";"-";"<E>";"détacher";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Le roi a détaché Max à Dax"
"6";"-";"-";"-";"-";"<E>";"driver";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max drive Bucéphale du paddock à la piste"
"7";"+";"-";"+";"-";"<E>";"évacuer";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"évacué";"<E>";"On a évacué le blessé sur Gap"
"8";"+";"-";"-";"-";"<E>";"exiler";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a exilé Max de son pays"
"9";"-";"-";"-";"-";"<E>";"expatrier";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"patrie";"On a expatrié les conspirateurs"
"10";"+";"-";"-";"-";"<E>";"expulser";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"L'entraîneur a expulsé Max de l'équipe"
"11";"+";"-";"-";"-";"<E>";"extrader";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La justice a extradé Bob de son pays d'élection"
"12";"-";"-";"-";"-";"<E>";"filer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a filé Luc jusque chez lui"
"13";"-";"-";"-";"-";"<E>";"mener";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max mène Luc chez lui"
"14";"-";"-";"-";"-";"<E>";"parachuter";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"<E>";"<E>";"On a parachuté ce député dans l'Eure"
"15";"-";"-";"-";"-";"<E>";"pister";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max piste Léa jusque chez elle"
"16";"-";"-";"-";"-";"<E>";"pourchasser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"On a pourchassé Max jusqu'à l'étranger"
"17";"-";"-";"-";"-";"<E>";"promener";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max promène son chien dans le jardin"
"18";"-";"-";"-";"-";"<E>";"rabattre";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Azor rabat le lièvre vers son maître"
"19";"-";"+";"-";"-";"<E>";"rapatrier";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"<E>";"patrie";"On a rapatrié Max dans son pays"
"20";"+";"-";"-";"-";"<E>";"rappeler";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ce pays a rappelé ses ambassadeurs de leur poste"
"21";"-";"-";"-";"-";"<E>";"reconduire";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max reconduit Ida chez elle"
"22";"-";"+";"-";"-";"<E>";"recruter";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"recrue";"<E>";"Max a recruté Luc dans son parti"
"23";"+";"-";"-";"-";"<E>";"refouler";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"<E>";"<E>";"On a refoulé Max de ce pays"
"24";"+";"-";"-";"-";"<E>";"relâcher";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a relâché Max de la prison d'état"
"25";"-";"-";"-";"-";"<E>";"replier";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le général a replié ses soldats sur leurs lignes"
"26";"-";"-";"+";"-";"<E>";"rétrograder";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a rétrogradé Max au grade de sergent"
"27";"-";"-";"-";"-";"<E>";"sortir";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le videur a sorti Max du bar"
"28";"-";"-";"-";"-";"<E>";"suivre";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Les flics suivent Luc partout"
"29";"-";"-";"-";"-";"<E>";"talonner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max talonne Luc dans la courbe"
"30";"-";"-";"+";"-";"<E>";"transhumer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max transhume ses moutons de la vallée dans la montagne"
"31";"-";"-";"+";"-";"<E>";"transmigrer";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le froid transmigre les populations vers le Sud"

