"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N1 être V-n";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"Loc N2 = Ppv =: y";"N2 être V-n";"N1 être Vpp (statique)";"N1 =: Nconc métaphore";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 =: Qu P métaphore";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"1";"-";"+";"-";"-";"<E>";"accepter";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"On accepte les chiens dans ce restaurant"
"2";"-";"-";"-";"-";"<E>";"accouder";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paul a accoudé le mannequin à la balustrade"
"3";"-";"-";"-";"-";"<E>";"accroupetonner";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a accroupetonné Marie sur le siège"
"4";"-";"-";"-";"-";"<E>";"accroupir";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paul a accroupi le mannequin sur ses talons"
"5";"-";"+";"-";"+";"<E>";"accueillir";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"<E>";"accueil";"Ida a accueilli deux réfugiés chez elle"
"6";"-";"-";"-";"-";"<E>";"acculer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le boxeur a acculé son adversaire dans les cordes"
"7";"-";"+";"-";"-";"<E>";"admettre";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"On admet les chiens dans ce restaurant"
"8";"-";"+";"-";"+";"<E>";"adopter";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"adopté";"<E>";"On a adopté Luc dans ce groupe"
"9";"+";"-";"-";"-";"<E>";"adresser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"<E>";"adresse";"Le médecin a adressé Paul à un spécialiste"
"10";"-";"-";"-";"-";"<E>";"affaler";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La fatigue a affalé Max sur le divan"
"11";"-";"-";"-";"-";"<E>";"agenouiller";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a agenouillé Luc sur la marche"
"12";"-";"-";"-";"-";"<E>";"agréger";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"<E>";"<E>";"Le directeur a agrégé Max au groupe"
"13";"-";"-";"-";"-";"<E>";"allonger";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a allongé son adversaire"
"14";"-";"+";"-";"-";"<E>";"appeler";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a appelé Luc dans sa chambre"
"15";"-";"-";"-";"-";"<E>";"asseoir";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a assis Luc sur le sol"
"16";"-";"-";"-";"-";"<E>";"assiéger";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"siège";"L'inondation assiège les habitants dans leur maison"
"17";"-";"-";"-";"+";"<E>";"assimiler";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"assimilé";"<E>";"Cette loi va assimiler les noirs dans la société américaine "
"18";"-";"-";"-";"-";"<E>";"attabler";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"table";"Max attable ses invités devant les tréteaux"
"19";"-";"-";"-";"-";"<E>";"attacher";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max attache un assistant à son service"
