"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N1 être V-n";"N0 V N2 (E+de N1)";"Loc N2 =: de N2 source";"Loc N2 =: Loc N2 source, Loc # de";"Loc N2 = Ppv =: en";"N2 être V-n";"N1 être Vpp (statique)";"N1 =: Nconc métaphore";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 =: Qu P métaphore";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"1";"-";"-";"-";"-";"<E>";"abstraire";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Max a abstrait son esprit des difficultés présentes"
"2";"-";"-";"-";"-";"<E>";"balancer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"<E>";"<E>";"Max balance Luc de son poste"
"3";"+";"-";"-";"-";"<E>";"bannir";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"banni";"<E>";"Le roi a banni Luc du pays"
"4";"-";"-";"-";"-";"<E>";"bouter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"<E>";"<E>";"Les anglais ont bouté les Français hors de Bordeaux"
"5";"-";"-";"-";"-";"<E>";"casser";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le général a cassé Max de son grade"
"6";"-";"-";"-";"-";"<E>";"chasser";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"On a chassé Max de France"
"7";"+";"-";"-";"-";"<E>";"congédier";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a congédié l'employé de son poste"
"8";"~";"~";"~";"-";"<E>";"congédier";"+";"-";"~";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a congédié ses hôtes"
"9";"-";"-";"-";"-";"<E>";"couper";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Luc a coupé Max de sa base"
"10";"-";"-";"-";"-";"<E>";"court-circuiter";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max a court-circuité Luc de la filière"
"11";"-";"+";"-";"-";"<E>";"cueillir";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a cueilli Paul à la gare"
"12";"-";"-";"+";"-";"<E>";"débarquer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Le ministre a débarqué Max de ce poste"
"13";"-";"-";"+";"-";"<E>";"débaucher";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a débauché Luc de son poste"
"14";"-";"-";"-";"-";"<E>";"déboulonner";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a déboulonné Luc de son poste"
"15";"-";"-";"-";"-";"<E>";"débusquer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"<E>";"<E>";"Max a débusqué (Luc+le renard) de sa cache"
"16";"-";"-";"-";"-";"<E>";"déchoir";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le roi a déchu Max de son grade"
"17";"-";"-";"-";"-";"<E>";"dégommer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"<E>";"<E>";"Max a dégommé Luc de son poste"
"18";"-";"-";"-";"-";"<E>";"délivrer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max délivre le condamné de sa prison"
"19";"-";"-";"-";"-";"<E>";"démettre";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a démis Luc de son poste"
"20";"-";"-";"+";"-";"<E>";"démonter";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"monture";"Le cheval a démonté son cavalier"
"21";"-";"-";"+";"-";"<E>";"dénicher";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"nid";"Max a déniché l'(aigle+ennemi)de sa position"
"22";"-";"-";"-";"-";"<E>";"dépêtrer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"Max a dépêtré Luc de(cette histoire+ces liens)"
"23";"~";"~";"~";"~";"<E>";"déraciner";"+";"-";"~";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a déraciné cette population de sa terre natale"
"24";"-";"-";"-";"+";"<E>";"désarçonner";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"<E>";"arçon";"Ce choc a désarçonné Max de son cheval"
"25";"-";"-";"-";"-";"<E>";"destituer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le roi a destitué Luc de son poste"
