"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N0 V N0pc W";"N0 V N1 sur N1pc";"N1 être V-n";"N1 =: coup";"N1 =: trou";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2";"Loc N2 =: sur N2";"Loc N2 =: contre N2";"Loc N2 =: à N2";"Loc N2 =: autour de N2";"Loc N2 =: vers N2";"Ppv =: y";"N2 être V-n";"de combien ?";"Loc N2 =: sur lui1-même";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum destination";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"1";"+";"-";"-";"-";"<E>";"-";"abandonner";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a abandonné son auto à son sort dans la forêt"
"2";"~";"~";"~";"~";"<E>";"-";"accepter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On accepte 50 visiteurs dans le salon"
"3";"-";"-";"-";"-";"<E>";"-";"accommoder";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max accommode sa vision sur cet objet"
"4";"-";"-";"-";"+";"<E>";"-";"accrocher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a accroché son veston aux ronces"
"5";"~";"~";"~";"~";"<E>";"-";"admettre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On admet les chiens dans cet hôtel"
"6";"-";"-";"+";"-";"<E>";"-";"aérer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"air";"Max a aéré les tapis dans le jardin"
"7";"-";"-";"+";"-";"<E>";"-";"affaisser";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"La crue affaisse le mur dans le fossé"
"8";"~";"~";"~";"~";"<E>";"-";"affermir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max affermit son chapeau sur sa tête"
"9";"-";"-";"-";"-";"<E>";"-";"agencer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Paul a agencé les bibelots sur la cheminée"
"10";"-";"-";"-";"-";"<E>";"-";"aiguiller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max aiguille le train sur la voie de garage"
"11";"-";"-";"-";"-";"<E>";"-";"ajuster";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a ajusté Luc au bout de son fusil"
"12";"~";"~";"~";"~";"<E>";"-";"ajuster";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a ajusté son fusil sur la cible"
"13";"-";"-";"-";"-";"<E>";"-";"aligner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"ligne";"Max a aligné Luc au bout de son fusil"
"14";"~";"~";"~";"~";"<E>";"-";"aligner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a aligné son fusil sur la cible"
"15";"-";"-";"-";"-";"<E>";"-";"allonger";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max allonge (la main+le bras)vers la bouteille"
