"<ID>";"N0 lieu de destination de N1";"N1 V";"N0 être V-n";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V N0pc W";"N1 être V-n";"N0 V N1";"N0 V N2 (E+de N1)";"Loc N2 =: de N2 source";"Loc N2 =: Loc N2 source, Loc # de";"Loc N3 =: vers N3";"N0 V N1 Loc N2 source Loc N3 destination";"Ppv =: y";"N2 être V-n";"V-n instrument";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum source";"à Nhum =: Loc Npc";"de Nhum source";"N1 =: mot, (N2+N3) =: texte";"N1 =: idée, (N2+N3) =: esprit";"N0 V N1abs Loc (N2abs+N3abs)";"N0 V N1hum Loc (N2abs+N3abs)";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"1";"~";"~";"~";"<E>";"abraser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Paul abrase les rugosités de la surface"
"2";"-";"-";"-";"<E>";"amputer";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a amputé le bras droit à Luc"
"3";"+";"-";"-";"<E>";"arracher";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a arraché le clou de la planche"
"4";"+";"-";"-";"<E>";"attraper";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a attrapé la bouteille sur l'étagère"
"5";"~";"~";"~";"<E>";"balancer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max balance toutes ces vieilleries(de son grenier+à la décharge)"
"6";"-";"-";"-";"<E>";"balayer";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"?";"<E>";"balai";"Max balaye la poussière du salon"
"7";"-";"-";"-";"<E>";"barrer";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a barré ce(de+dans)la liste"
"8";"~";"~";"~";"<E>";"basculer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a basculé les caisses du camion"
"9";"~";"~";"~";"<E>";"bazarder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a bazardé le pot à la poubelle"
"10";"-";"-";"-";"<E>";"brosser";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"brosse";"Max a brossé toute la poussière de la veste"
"11";"+";"-";"-";"<E>";"cantiner";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"cantine";"<E>";"Paulo a cantiné du café à la cantine"
"12";"-";"+";"-";"<E>";"casser";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Luc a cassé une branche d'arbre"
"13";"-";"-";"-";"<E>";"caviarder";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Le censeur a caviardé les gros mots du texte"
"14";"-";"-";"+";"<E>";"censurer";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"censeur";"<E>";"<E>";"<E>";"Max censure les allusions perfides du texte"
"15";"-";"-";"-";"<E>";"chasser";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Le choc a chassé la bille de son logement"
"16";"~";"~";"~";"<E>";"choper";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Paul a chopé un briquet dans le tiroir"
"17";"-";"-";"-";"<E>";"cisailler";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"cisaille";"Max a cisaillé le bout qui dépassait de la plaque"
"18";"-";"-";"-";"<E>";"couper";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a coupé la branche d'arbre"
"19";"+";"-";"-";"<E>";"cueillir";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a cueilli un baiser sur les lèvres de Marie"
"20";"~";"~";"~";"<E>";"culbuter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a culbuté l'auto de la route dans le fossé"
