"N0 =: Nhum";"N0 =: N-hum";"<ID>";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N1 =: N-hum";"Prép2 =: à";"Prép2 =: en";"Prép2 =: de";"Prép2 =: avec";"Prép2 =: contre";"Prép2 =: pour";"Prép2 =: auprès de";"Prép3 =: de";"Prép3 =: à";"Prép3 =: avec";"Prép3 =: par";"Prép3 =: pour";"Prép3 =: contre";"Prép3 =: comme";"Prép3 =: dans";"Prép3 =: en";"Prép3 =: sur";"<OPT>"
"+";"-";"1";"-";"<E>";"changer";"+";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"+";"~";"~";"~";"~";"La banque a changé à Max son argent(pour+contre)des dollars"
"+";"-";"2";"+";"<E>";"costumer";"+";"-";"+";"-";"~";"+";"~";"~";"~";"~";"~";"+";"~";"~";"~";"-";"-";"~";"~";"~";"~";"Max a costumé Luc en clown d'une combinaison rouge"
"+";"-";"3";"+";"<E>";"dédicacer";"+";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a dédicacé son livre à Ida de quelques mots"
"+";"-";"4";"+";"<E>";"défendre";"+";"-";"-";"+";"~";"~";"+";"~";"~";"~";"~";"~";"~";"+";"+";"~";"~";"~";"~";"~";"~";"On défend le métal de la corrosion(avec+par)un revêtement"
"+";"-";"5";"+";"<E>";"défendre";"+";"-";"-";"+";"~";"~";"~";"~";"+";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max défend la ville de bastions (contre +les attaques de ) l'ennemi"
"+";"-";"6";"-";"<E>";"donner";"+";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"Max donne à Luc ce cheval comme étant gagnant à coup sûr"
"+";"-";"7";"-";"<E>";"donner";"+";"-";"-";"+";"~";"~";"~";"~";"~";"+";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"Max donne à Luc ce texte pour authentique"
"~";"~";"8";"~";"<E>";"donner";"+";"-";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"Max a donné à Luc la cour à balayer"
"~";"~";"9";"~";"<E>";"faire";"+";"-";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"Je te fais tes bottes au poker"
"~";"~";"10";"~";"<E>";"hériter";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a hérité d'une maison de son père"
"+";"-";"11";"+";"<E>";"isoler";"+";"-";"-";"+";"~";"~";"+";"~";"~";"~";"~";"+";"~";"+";"~";"~";"~";"~";"~";"~";"~";"Max a isolé le grenier du froid d'une couche de mousse"
;;"12";"-";"<E>";"joindre";"+";"-";"~";"~";"+";"~";"~";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"Max a joint la rive droite(et+avec+à)la rive gauche par un pont"
"+";"-";"13";"-";"<E>";"jouer";"+";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"Max joue à Luc sa voiture au poker"
"+";"-";"14";"-";"<E>";"offrir";"+";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"Max offre une somme à Luc pour ce tableau"
"+";"-";"15";"+";"<E>";"protéger";"+";"-";"+";"+";"~";"~";"+";"~";"+";"~";"~";"+";"~";"+";"+";"~";"~";"~";"~";"~";"~";"La police protège le ministère contre les attentats d'une milice"
"+";"-";"16";"+";"<E>";"protéger";"+";"-";"+";"+";"~";"~";"+";"~";"+";"~";"~";"+";"~";"+";"+";"~";"~";"~";"~";"~";"~";"Max a protégé sa voiture de la pluie d'une bâche"
"+";"-";"17";"-";"<E>";"réduire";"+";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"Max a réduit 30 Frs à Luc sur le prix de cet objet"
"+";"-";"18";"-";"<E>";"voler";"+";"-";"+";"-";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"Bob a volé Max de 100 Frs sur le prix du gaz"

