"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"[extrap]";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 être Vpp W";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"Tc =: futur";"Tc =: passé";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"de N1 =: de ce Qu P = de là";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"de N1 V N0";"N0 V contre Nhum";"<OPT>"
"1";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"abstenir";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max s'abstient de parler"
"2";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"abuser";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Paul abuse de ce qu'on le laisse faire"
"3";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"accommoder";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max s'accommode de ce que Luc parte tôt"
"4";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"accuser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul s'accuse d'avoir provoqué la catastrophe"
"5";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"acquitter";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max s'acquitte mal de balayer la cour"
"6";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"angoisser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max angoisse d'avoir à faire ça un peu avant l'examen"
"7";"+";"+";"-";"-";"-";"s'";"+";"-";"-";"arranger";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"Max s'est arrangé de ce qu'Ida était partie"
"8";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"attiger";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max attige de dire ceci de Luc"
"9";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"aviser";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"Max s'avise de ce qu'il doit partir"
"10";"+";"-";"-";"-";"-";"se";"+";"-";"-";"balancer";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se balance de ce que Luc soit parti"
"11";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"baver";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max bave (E + de jalousie) de ce que Luc ait eut le prix"
"12";"+";"-";"-";"-";"-";"en ";"-";"+";"-";"baver";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max en bave de ce qu'il ait à faire ce travail"
"13";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"béer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max bée (E + d'admiration) de ce que Léa a réussi"
"14";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"bénéficier";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"Max bénéficie de ce que Luc est parti"
"15";"+";"-";"-";"-";"-";"se";"+";"-";"-";"bidonner";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max se bidonne de ce que Luc est parti"
"16";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"bicher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul biche d'avoir eu son bac"
"17";"+";"-";"-";"-";"-";"se";"+";"-";"-";"biler";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Max se bile de ce qu'Ida est partie"
"18";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"bisquer";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max bisque de ce qu'Ida est partie"
"19";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"blaguer";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max blague de ce qu'Ida est partie"
"20";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"blanchir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max blanchit de colère de ce qu'on l'ait insulté"
"21";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"blêmir";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max blêmit de ce qu'on l'ait insulté"
"22";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"bleuir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max bleuit de ce qu'il est trop resté dans l'eau"
