"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 pousser V-n, Sfx = ment";"N0 pousser V-n, Sfx = E";"N0 V contre Nhum";"N0 V après Nhum";"N0 V N1";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V à N2";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"à N2 = là";"il être Vpp Prép N2 (E+par N0)";"N0 V N1 à N2 de Nhum";"à quoi N0 V N1";"N0 V à N2 : 'P'";"'P',V N0 à N2";"[passif par]";"[passif de]";"<OPT>"
"1";"+";"-";"-";"-";"-";"<E>";"-";"abandonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a abandonné à Marie(E+le droit)de percevoir ce fric"
"2";"+";"-";"-";"-";"-";"<E>";"-";"aboyer";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a aboyé à Luc de s'en aller"
"3";"+";"-";"-";"-";"-";"<E>";"-";"accorder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"J'ai accordé à Max le droit de faire cela"
"4";"+";"-";"-";"-";"-";"<E>";"-";"accorder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"J'ai accordé à Max que j'avais fait une erreur"
"5";"-";"+";"+";"-";"+";"<E>";"-";"acquérir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Cette réussite a acquis à Paul(de pouvoir+qu'il puisse)parler librement"
"6";"+";"-";"-";"-";"-";"<E>";"-";"adjuger";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a adjugé à Luc de s'occuper des cuisines"
"7";"+";"+";"+";"-";"+";"<E>";"-";"affirmer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a affirmé à Luc qu'il viendrait"
"8";"+";"-";"-";"-";"-";"<E>";"-";"ahaner";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max ahane à Luc qu'il est fatigué"
"9";"+";"-";"-";"-";"-";"<E>";"-";"ajouter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"Max a ajouté à Paul qu'il n'y aurait pas de réunion"
"10";"+";"-";"-";"-";"-";"<E>";"-";"alléguer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"Max a allégué à Luc qu'il avait obtenu l'autorisation"
